filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2838227300170858594	JRC_SS41052_Brain_20200724_42_F1_20x	P{R52E06-p65.AD}	P{R39G05-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS41052|JRC_SS41052	FlyLightSplit:SS41052|FlyLightSplitSlideCode:20200724_42_F1|jrc_slide_code_api:20200724_42_F1|neuronbridge:SS41052	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200724_42_F1', age: 'Day 1-5'
20x-Brain-2838227306084827234	JRC_SS40864_Brain_20200724_42_H5_20x	P{R91C05-p65.AD}	P{VT057379-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS40864|JRC_SS40864	FlyLightSplit:SS40864|FlyLightSplitSlideCode:20200724_42_H5|jrc_slide_code_api:20200724_42_H5|neuronbridge:SS40864	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200724_42_H5', age: 'Day 1-5'
20x-Brain-2863947529744023650	JRC_SS44060_Brain_20201016_42_E6_20x	PBac{R23B05-p65.AD}	P{R74D06-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44060|JRC_SS44060	FlyLightSplit:SS44060|FlyLightSplitSlideCode:20201016_42_E6|jrc_slide_code_api:20201016_42_E6|neuronbridge:SS44060	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_42_E6', age: 'Day 1-5'
20x-Brain-2863947531212030050	JRC_SS31543_Brain_20201016_42_F4_20x	P{VT025783-p65.AD}	P{R11D09-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS31543|JRC_SS31543	FlyLightSplit:SS31543|FlyLightSplitSlideCode:20201016_42_F4|jrc_slide_code_api:20201016_42_F4|neuronbridge:SS31543	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_42_F4', age: 'Day 1-5'
20x-Brain-2863954203871543394	JRC_SS53378_Brain_20201016_42_G2_20x	P{VT061927-p65.AD}	P{VT045575-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS53378|JRC_SS53378	FlyLightSplit:SS53378|FlyLightSplitSlideCode:20201016_42_G2|jrc_slide_code_api:20201016_42_G2|neuronbridge:SS53378	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_42_G2', age: 'Day 1-5'
20x-Brain-2866773890296709218	JRC_SS41052_Brain_20201016_43_F2_20x	P{R52E06-p65.AD}	P{R39G05-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS41052|JRC_SS41052	FlyLightSplit:SS41052|FlyLightSplitSlideCode:20201016_43_F2|jrc_slide_code_api:20201016_43_F2|neuronbridge:SS41052	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_43_F2', age: 'Day 1-5'
20x-Brain-2866773890728722530	JRC_SS44056_Brain_20201016_43_F3_20x	PBac{R23B05-p65.AD}	P{VT021842-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44056|JRC_SS44056	FlyLightSplit:SS44056|FlyLightSplitSlideCode:20201016_43_F3|jrc_slide_code_api:20201016_43_F3|neuronbridge:SS44056	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_43_F3', age: 'Day 1-5'
20x-Brain-2866773892603576418	JRC_SS54474_Brain_20201016_43_G1_20x	P{VT014604-p65.AD}	P{R46C02-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS54474|JRC_SS54474	FlyLightSplit:SS54474|FlyLightSplitSlideCode:20201016_43_G1|jrc_slide_code_api:20201016_43_G1|neuronbridge:SS54474	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201016_43_G1', age: 'Day 1-5'
20x-Brain-3013176954217037922	JRC_SS41029_Brain_20211203_45_G1_20x	P{R33H04-p65.AD}	P{R28E12-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS41029|JRC_SS41029	FlyLightSplit:SS41029|FlyLightSplitSlideCode:20211203_45_G1|jrc_slide_code_api:20211203_45_G1|neuronbridge:SS41029	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20211203_45_G1', age: 'Day 1-5'
20x-Brain-3013176954741325922	JRC_SS37294_Brain_20211203_45_H6_20x	P{R42B09-p65.AD}	P{VT057058-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS37294|JRC_SS37294	FlyLightSplit:SS37294|FlyLightSplitSlideCode:20211203_45_H6|jrc_slide_code_api:20211203_45_H6|neuronbridge:SS37294	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20211203_45_H6', age: 'Day 1-5'
