object_name	relation	subject_id	subject_name
adult sensory neuron	is_a	VFB_001028dj	neuron 11744 (FANC:516359)
adult sensory neuron	is_a	VFB_001028dl	neuron 11748 (FANC:516386)
adult sensory neuron	is_a	VFB_001028du	neuron 11770 (FANC:516504)
adult sensory neuron	is_a	VFB_001028dw	neuron 11774 (FANC:516528)
adult sensory neuron	is_a	VFB_001028fl	neuron 16071 (FANC:517508)
adult sensory neuron	is_a	VFB_0010285l	neuron 70333 (FANC:513094)
adult sensory neuron	is_a	VFB_0010287w	neuron 70530 (FANC:513945)
adult sensory neuron	is_a	VFB_0010289d	neuron 70640 (FANC:514384)
adult sensory neuron	is_a	VFB_001028fq	neuron 71406 (FANC:517571)
adult sensory neuron	is_a	VFB_0010288m	neuron 74683 (FANC:514152)
adult sensory neuron	is_a	VFB_0010285h	neuron 78508 (FANC:513043)
adult sensory neuron	is_a	VFB_001027z4	neuron 80037 (FANC:510703)
adult sensory neuron	is_a	VFB_001028fr	neuron 28401 (FANC:517583)
adult sensory neuron	is_a	VFB_0010292p	neuron 118491 (FANC:664564)
adult sensory neuron	is_a	VFB_001028e0	neuron 73224 (FANC:516581)
adult sensory neuron	is_a	VFB_001028e7	neuron 73244 (FANC:516667)
adult sensory neuron	is_a	VFB_001028g9	neuron 24426 (FANC:517818)
adult sensory neuron	is_a	VFB_0010292i	Neuron 124102 (FANC:664474)
adult sensory neuron	is_a	VFB_0010292s	neuron 21994 (FANC:664603)
adult sensory neuron	is_a	VFB_001027yb	neuron 22534 (FANC:510294)
adult sensory neuron	is_a	VFB_0010291m	neuron 22562 (FANC:664185)
adult sensory neuron	is_a	VFB_001027yi	neuron 22583 (FANC:510392)
adult sensory neuron	is_a	VFB_0010292l	neuron 22613 (FANC:664513)
adult sensory neuron	is_a	VFB_001027yn	neuron 22620 (FANC:510482)
adult sensory neuron	is_a	VFB_0010281m	neuron 22894 (FANC:511684)
adult sensory neuron	is_a	VFB_0010292v	neuron 23285 (FANC:664642)
adult sensory neuron	is_a	VFB_001028bu	neuron 23827 (FANC:515552)
adult sensory neuron	is_a	VFB_001028d3	neuron 23992 (FANC:516145)
adult sensory neuron	is_a	VFB_0010292t	neuron 24301 (FANC:664616)
adult sensory neuron	is_a	VFB_0010291i	neuron 24350 (FANC:664129)
adult sensory neuron	is_a	VFB_0010292g	neuron 25162 (FANC:664449)
adult sensory neuron	is_a	VFB_0010291p	neuron 25250 (FANC:664224)
adult sensory neuron	is_a	VFB_0010288z	neuron 25563 (FANC:514327)
adult sensory neuron	is_a	VFB_001028a2	neuron 25665 (FANC:514705)
adult sensory neuron	is_a	VFB_0010290w	neuron 25743 (FANC:663968)
adult sensory neuron	is_a	VFB_0010291d	neuron 25753 (FANC:664061)
adult sensory neuron	is_a	VFB_0010292j	neuron 25808 (FANC:664487)
adult sensory neuron	is_a	VFB_001028eq	neuron 26199 (FANC:517093)
adult sensory neuron	is_a	VFB_001027zi	neuron 26842 (FANC:510893)
adult sensory neuron	is_a	VFB_001027zu	neuron 26884 (FANC:511060)
adult sensory neuron	is_a	VFB_0010280p	neuron 319 (FANC:511361)
adult sensory neuron	is_a	VFB_0010281g	neuron 347 (FANC:511603)
adult sensory neuron	is_a	VFB_001028gz	neuron 51198 (FANC:518131)
adult sensory neuron	is_a	VFB_001027zl	neuron 86244 (FANC:510932)
adult sensory neuron	is_a	VFB_0010292e	neuron 94022 (FANC:664423)
adult sensory neuron	is_a	VFB_0010283s	neuron 500 (FANC:512490)
adult sensory neuron	is_a	VFB_001028c5	neuron 70980 (FANC:515694)
adult sensory neuron	is_a	VFB_001028ac	neuron 78949 (FANC:514832)
adult sensory neuron	is_a	VFB_001028ae	neuron 78956 (FANC:514855)
adult sensory neuron	is_a	VFB_001028ai	neuron 78963 (FANC:514904)
adult sensory neuron	is_a	VFB_001028am	neuron 78973 (FANC:514952)
adult sensory neuron	is_a	VFB_001028eg	neuron 71220 (FANC:516965)
adult sensory neuron	is_a	VFB_001028f7	neuron 87698 (FANC:517328)
adult sensory neuron	is_a	VFB_001028cg	neuron 77175 (FANC:515833)
adult sensory neuron	is_a	VFB_001028dc	neuron 77257 (FANC:516267)
adult sensory neuron	is_a	VFB_001028gu	neuron 6106 (FANC:518067)
adult sensory neuron	is_a	VFB_0010285e	neuron 70293 (FANC:513006)
adult sensory neuron	is_a	VFB_0010285f	neuron 70310 (FANC:513018)
adult sensory neuron	is_a	VFB_0010286f	neuron 70373 (FANC:513348)
adult sensory neuron	is_a	VFB_0010286l	neuron 70389 (FANC:513465)
adult sensory neuron	is_a	VFB_0010287i	neuron 70468 (FANC:513765)
adult sensory neuron	is_a	VFB_0010289z	neuron 70712 (FANC:514668)
adult sensory neuron	is_a	VFB_001028ab	neuron 70755 (FANC:514820)
adult sensory neuron	is_a	VFB_001028c3	neuron 73025 (FANC:515669)
adult sensory neuron	is_a	VFB_001028ck	neuron 73091 (FANC:515885)
adult sensory neuron	is_a	VFB_001028cn	neuron 73099 (FANC:515925)
adult sensory neuron	is_a	VFB_0010289f	neuron 80885 (FANC:514410)
adult sensory neuron	is_a	VFB_001028at	neuron 83104 (FANC:515057)
adult sensory neuron	is_a	VFB_001028dr	neuron 73204 (FANC:516465)
adult sensory neuron	is_a	VFB_001028dt	neuron 73209 (FANC:516492)
adult sensory neuron	is_a	VFB_001028e2	neuron 73229 (FANC:516606)
adult sensory neuron	is_a	VFB_001028e4	neuron 73234 (FANC:516632)
