	object	relation	subject_external_db	subject_external_id	subject_name
70	alpha/beta Kenyon cell	is_a	neuprint_JRC	939738477	KCab-a
71	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981039	KCab-a
72	alpha/beta Kenyon cell	is_a	neuprint_JRC	940075464	KCab-s
73	alpha/beta Kenyon cell	is_a	neuprint_JRC	358631384	(PDM09)_L
74	alpha/beta Kenyon cell	is_a	neuprint_JRC	939738473	KCab-c
75	alpha/beta Kenyon cell	is_a	neuprint_JRC	394768379	KCab-s
76	alpha/beta Kenyon cell	is_a	neuprint_JRC	878333333	KCab-s
77	alpha/beta Kenyon cell	is_a	neuprint_JRC	798537538	KCab-c
78	alpha/beta Kenyon cell	is_a	neuprint_JRC	891642176	KCab-c
79	alpha/beta Kenyon cell	is_a	neuprint_JRC	940079513	KCab-s
80	alpha/beta Kenyon cell	is_a	neuprint_JRC	860607480	KCab-c
81	alpha/beta Kenyon cell	is_a	neuprint_JRC	332003730	KCab-c
82	fan-shaped neuron	is_a	neuprint_JRC	5813002689	FB1D^FB01D_L
83	fan-shaped neuron	is_a	neuprint_JRC	915960391	FB6H^FB06j_L
84	fan-shaped neuron	is_a	neuprint_JRC	205299889	FB8F_b^FB08i_L
85	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813093544	KCab-s
86	alpha/beta Kenyon cell	is_a	neuprint_JRC	798192091	KCab-s
87	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981671	KCab-s
88	extrinsic ring neuron ExR3	is_a	neuprint_JRC	1036637638	ExR3(ring)_R
89	alpha/beta Kenyon cell	is_a	neuprint_JRC	456808311	KCab-s
90	alpha/beta Kenyon cell	is_a	neuprint_JRC	332344760	KCab-c
91	fan-shaped neuron	is_a	neuprint_JRC	5812979942	FB8F_a^FB07f_R
92	fan-shaped neuron	is_a	neuprint_JRC	884921013	FB7I^FB06of_L
93	alpha/beta Kenyon cell	is_a	neuprint_JRC	332008063	KCab-a
94	alpha/beta Kenyon cell	is_a	neuprint_JRC	815926323	KCab-c
95	alpha/beta Kenyon cell	is_a	neuprint_JRC	1109568528	KCab-s
96	fan-shaped neuron	is_a	neuprint_JRC	328213227	FB8F_a^FB07f_R
97	adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	392821837	pC1b(PDM09)_L
98	fan-shaped neuron	is_a	neuprint_JRC	358259842	FB8G^FB07h_R
99	fan-shaped neuron	is_a	neuprint_JRC	916288689	FB8I^FB07p_L
100	fan-shaped neuron	is_a	neuprint_JRC	296851261	FB8G^FB07m_R
101	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981679	KCab-s
102	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981690	KCab-s
103	fan-shaped neuron	is_a	neuprint_JRC	422881784	FB1A^FB01a_L
104	alpha/beta Kenyon cell	is_a	neuprint_JRC	603422422	KCab-s
105	alpha/beta Kenyon cell	is_a	neuprint_JRC	767502639	KCab-c
106	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021277	KCab-a
107	alpha/beta Kenyon cell	is_a	neuprint_JRC	332685751	KCab-a
108	alpha/beta Kenyon cell	is_a	neuprint_JRC	880404940	KCab-s
109	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983006	KCab-c
110	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983302	KCab-a
111	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982388	KCab-s
112	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983213	KCab-s
113	alpha/beta Kenyon cell	is_a	neuprint_JRC	389626867	(PDL14)_L
114	fan-shaped neuron	is_a	neuprint_JRC	5813058338	FB8D^FB08f_L
115	alpha/beta Kenyon cell	is_a	neuprint_JRC	940083749	KCab-c
116	alpha/beta Kenyon cell	is_a	neuprint_JRC	877982991	KCab-c
117	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980599	KCab-s
118	fan-shaped neuron	is_a	neuprint_JRC	1254947903	FB1F^FB01g_L
119	fan-shaped neuron	is_a	neuprint_JRC	327720946	(PDM05)_L
120	DN1p neuron	is_a	neuprint_JRC	386834269	DN1pB_R
121	DN1a neuron	is_a	neuprint_JRC	264083994	DN1a_R
122	fan-shaped neuron	is_a	neuprint_JRC	295820069	FB8H^FB08a_R
123	fan-shaped neuron	is_a	neuprint_JRC	296855409	FB8I^FB07p_R
124	dopaminergic PAM neuron 10	is_a	neuprint_JRC	328253133	PAM10(B1)_R
125	fan-shaped neuron	is_a	neuprint_JRC	5813061495	FB6A^FB06a_R
126	alpha/beta Kenyon cell	is_a	neuprint_JRC	550598935	KCab-s
127	alpha/beta Kenyon cell	is_a	neuprint_JRC	923359312	KCab-s
128	alpha/beta Kenyon cell	is_a	neuprint_JRC	327600366	(MBDLaxon1)
129	fan-shaped neuron	is_a	neuprint_JRC	915610561	FB6B^FB06b_R
130	alpha/beta Kenyon cell	is_a	neuprint_JRC	784844112	KCab-c
131	alpha/beta Kenyon cell	is_a	neuprint_JRC	518873469	KCab-s
132	alpha/beta Kenyon cell	is_a	neuprint_JRC	797855394	KCab-s
133	alpha/beta Kenyon cell	is_a	neuprint_JRC	736126563	KCab-c
134	alpha/beta Kenyon cell	is_a	neuprint_JRC	611309194	KCab-c
135	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813090605	KCab-s
136	fan-shaped neuron	is_a	neuprint_JRC	885262311	FB7L^FB07c_R
137	alpha/beta Kenyon cell	is_a	neuprint_JRC	538308362	KCab-s
138	alpha/beta Kenyon cell	is_a	neuprint_JRC	519900699	KCab-s
139	alpha/beta Kenyon cell	is_a	neuprint_JRC	333030976	KCab-s
140	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980378	KCab-s
141	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021251	KCab-s
142	alpha/beta Kenyon cell	is_a	neuprint_JRC	362701764	KCab-s
143	alpha/beta Kenyon cell	is_a	neuprint_JRC	939729237	KCab-s
144	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983023	KCab-a
145	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983272	KCab-s
146	alpha/beta Kenyon cell	is_a	neuprint_JRC	910404284	KCab-s
147	alpha/beta Kenyon cell	is_a	neuprint_JRC	911094343	KCab-s
148	alpha/beta Kenyon cell	is_a	neuprint_JRC	970777224	KCab-c
149	alpha/beta Kenyon cell	is_a	neuprint_JRC	515580115	(MBDLaxon1)
150	alpha/beta Kenyon cell	is_a	neuprint_JRC	939738424	KCab-c
151	alpha/beta Kenyon cell	is_a	neuprint_JRC	394418743	KCab-c
152	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982389	KCab-c
153	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813087831	KCab-c
154	alpha/beta Kenyon cell	is_a	neuprint_JRC	674056882	KCab-s
155	fan-shaped neuron	is_a	neuprint_JRC	421357275	FB8G^FB07h_R
156	fan-shaped neuron	is_a	neuprint_JRC	884916654	FB7L^FB07c_R
157	dopaminergic PAM neuron 10	is_a	neuprint_JRC	329435390	PAM10(B1)_L
158	extrinsic ring neuron ExR3	is_a	neuprint_JRC	919763043	ExR3(ring)_L
159	alpha/beta Kenyon cell	is_a	neuprint_JRC	630381662	KCab-s
160	fan-shaped neuron	is_a	neuprint_JRC	296838079	FB8I^FB07p_R
161	fan-shaped neuron	is_a	neuprint_JRC	946645313	FB6C_a^FB06c_R
