subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
837522	VFB_0010157u	ddaF a4r class III md (L1EM:837522)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299897	VFB_001015fs	neuron 19299898 (L1EM:19299897)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3814635	VFB_0010159v	MN_AN iACT PN right (L1EM:3814635)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
16688280	VFB_001015d3	RG CC (L1EM:16688280)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297684	VFB_001015em	neuron 19297685 (L1EM:19297684)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297828	VFB_001015ez	neuron 19297829 (L1EM:19297828)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1347570	VFB_0010158h	putative class III (L1EM:1347570)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3742519	VFB_0010159q	C4da_t3l (L1EM:3742519)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
11512247	VFB_001015c3	BAmas d 2 left (L1EM:11512247)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19017854	VFB_001015de	v\'td_vnc_a4l (L1EM:19017854)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297630	VFB_001015ef	neuron 19297631 (L1EM:19297630)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19300586	VFB_001015g0	neuron 19300587 (L1EM:19300586)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299829	VFB_001015fk	neuron 19299830 (L1EM:19299829)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
10958210	VFB_001015bw	MB2ON-243 (L1EM:10958210)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
7012280	VFB_001015b2	v\'td_vnc_a5l (L1EM:7012280)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2871853	VFB_0010159e	mdIV? (L1EM:2871853)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19073065	VFB_001015dj	neuron 19073066 (L1EM:19073065)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19494163	VFB_001015g6	neuron 19494164 (L1EM:19494163)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2842568	VFB_0010159c	ddaC?_a8l (L1EM:2842568)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2761699	VFB_0010158w	vdaB?_a8r (L1EM:2761699)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19279295	VFB_001015e0	neuron 19279296 (L1EM:19279295)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522251	VFB_001015gd	neuron 19522252 (L1EM:19522251)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
5973097	VFB_001015as	MB2IN-93 (L1EM:5973097)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3620633	VFB_0010159m	MB2IN-206 (L1EM:3620633)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297672	VFB_001015ek	neuron 19297673 (L1EM:19297672)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2970864	VFB_0010159i	ddaC_a2r  (L1EM:2970864)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299691	VFB_001015f2	neuron 19299692 (L1EM:19299691)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
15906558	VFB_001015cs	MB2IN-204 (L1EM:15906558)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19037563	VFB_001015dh	v\'td_vnc_a4r (L1EM:19037563)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
203130	VFB_0010157l	v\'ada_a3l (L1EM:203130)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19266580	VFB_001015dx	neuron 19266581 (L1EM:19266580)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299835	VFB_001015fl	neuron 19299836 (L1EM:19299835)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2817021	VFB_0010158y	v\'pda a5l class III md (L1EM:2817021)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1672957	VFB_0010158j	vdaB?_a6l (L1EM:1672957)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297549	VFB_001015e4	neuron 19297550 (L1EM:19297549)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299740	VFB_001015f9	neuron 19299741 (L1EM:19299740)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
7335439	VFB_001015b3	Coaster (NPF) 2 left (L1EM:7335439)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
17352470	VFB_001015d8	DPMpl12 Brain into SEZ? right (L1EM:17352470)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
17896997	VFB_001015db	BLDc LH right (L1EM:17896997)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299811	VFB_001015fi	neuron 19299812 (L1EM:19299811)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297738	VFB_001015ev	neuron 19297739 (L1EM:19297738)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
15568134	VFB_001015co	MB2IN-93 (L1EM:15568134)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3793165	VFB_0010159t	ddaC_a2r (L1EM:3793165)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3930411	VFB_001015a5	Ruler Like Neuron right (L1EM:3930411)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
16688452	VFB_001015d5	neuron 16688453 (L1EM:16688452)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
770615	VFB_0010157t	ddaC_a3l (L1EM:770615)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
11695602	VFB_001015c5	SEZ-IN-medial projections left (L1EM:11695602)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299903	VFB_001015ft	neuron 19299904 (L1EM:19299903)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19457832	VFB_001015g2	RG cell (L1EM:19457832)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19099474	VFB_001015dl	neuron 19099475 (L1EM:19099474)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297690	VFB_001015en	neuron 19297691 (L1EM:19297690)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9787933	VFB_001015bn	MB2IN-208 (L1EM:9787933)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299805	VFB_001015fh	neuron 19299806 (L1EM:19299805)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9151980	VFB_001015bh	vdaB_a4l (L1EM:9151980)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9408003	VFB_001015bl	AF1 left (L1EM:9408003)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
