subject_external_id	object	subject_external_db	relation	pub
17380092	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15676571	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
3232277	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
10946002	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
5791548	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
8451818	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
18264509	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
16846902	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
13365464	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
8717042	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
11102156	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15474790	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
9870483	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
12935696	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15566333	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15568333	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15974183	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15662776	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
17358864	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16561224	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13842372	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6702943	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10728323	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
