subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940604624049	FlyWire:720575940604624049	VFB_fw066553	flywire783	is_a	adult medulla intrinsic neuron Mi17	FlyBase:FBrf0262545
720575940604626912	FlyWire:720575940604626912	VFB_fw043355	flywire783	is_a	alpha/beta Kenyon cell	
720575940604632753	FlyWire:720575940604632753	VFB_fw068322	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940604659424	FlyWire:720575940604659424	VFB_fw053863	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940604660401	FlyWire:720575940604660401	VFB_fw068125	flywire783	is_a	distal medullary amacrine neuron Dm16	
720575940604665009	FlyWire:720575940604665009	VFB_fw067695	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604667825	FlyWire:720575940604667825	VFB_fw014594	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604678880	FlyWire:720575940604678880	VFB_fw057673	flywire783	is_a	distal medullary amacrine neuron Dm8b	
720575940604720096	FlyWire:720575940604720096	VFB_fw092462	flywire783	is_a	medulla intrinsic neuron Mi2	
720575940604747744	FlyWire:720575940604747744	VFB_fw088994	flywire783	is_a	transmedullary neuron Tm33	FlyBase:FBrf0262545
720575940604781158	FlyWire:720575940604781158	VFB_fw045302	flywire783	is_a	zone F Johnston organ neuron	
720575940604786889	FlyWire:720575940604786889	VFB_fw010754	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604799409	FlyWire:720575940604799409	VFB_fw064240	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604805297	FlyWire:720575940604805297	VFB_fw064843	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604806345	FlyWire:720575940604806345	VFB_fw021694	flywire783	is_a	alpha/beta Kenyon cell	
720575940604812768	FlyWire:720575940604812768	VFB_fw093729	flywire783	is_a	lobula plate intrinsic neuron LPi4a	FlyBase:FBrf0262545
720575940604813233	FlyWire:720575940604813233	VFB_fw066589	flywire783	is_a	translobula plate neuron Tlp14	
720575940604813280	FlyWire:720575940604813280	VFB_fw093762	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940604833196	FlyWire:720575940604833196	VFB_fw021598	flywire783	is_a	alpha/beta Kenyon cell	
720575940604847392	FlyWire:720575940604847392	VFB_fw012879	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604877024	FlyWire:720575940604877024	VFB_fw096857	flywire783	is_a	adult medulla-lobula neuron MeLo7	FlyBase:FBrf0262545
720575940604885792	FlyWire:720575940604885792	VFB_fw048676	flywire783	is_a	adult medulla-tubercle neuron 1	
720575940604894432	FlyWire:720575940604894432	VFB_fw098095	flywire783	is_a	adult central medulla intrinsic neuron Cm6	FlyBase:FBrf0262545
720575940604896684	FlyWire:720575940604896684	VFB_fw085740	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604924606	FlyWire:720575940604924606	VFB_fw022792	flywire783	is_a	alpha/beta Kenyon cell	
720575940604933344	FlyWire:720575940604933344	VFB_fw017210	flywire783	is_a	adult lobula tangential neuron LT55	
720575940604934502	FlyWire:720575940604934502	VFB_fw000042	flywire783	is_a	adult Ms cell of pars intercerebralis	
720575940604934572	FlyWire:720575940604934572	VFB_fw021398	flywire783	is_a	alpha/beta Kenyon cell	
720575940604947558	FlyWire:720575940604947558	VFB_fw049071	flywire783	is_a	medulla columnar neuron MC64	
720575940604957216	FlyWire:720575940604957216	VFB_fw062581	flywire783	is_a	transmedullary Y neuron TmY5a	
720575940604957984	FlyWire:720575940604957984	VFB_fw062614	flywire783	is_a	medulla intrinsic neuron Mi4	
720575940604969161	FlyWire:720575940604969161	VFB_fw008953	flywire783	is_a	adult tubercle-bulb neuron 03	
720575940604971488	FlyWire:720575940604971488	VFB_fw106463	flywire783	is_a	transmedullary neuron Tm5b	
720575940604991660	FlyWire:720575940604991660	VFB_fw091336	flywire783	is_a	transmedullary neuron Tm33	FlyBase:FBrf0262545
720575940605016288	FlyWire:720575940605016288	VFB_fw110836	flywire783	is_a	transmedullary neuron Tm32	FlyBase:FBrf0262545
720575940605020448	FlyWire:720575940605020448	VFB_fw011492	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940605024386	FlyWire:720575940605024386	VFB_fw014604	flywire783	is_a	adult lobula columnar neuron LC31a	
720575940605036418	FlyWire:720575940605036418	VFB_fw022560	flywire783	is_a	alpha/beta Kenyon cell	
720575940605053408	FlyWire:720575940605053408	VFB_fw113890	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605055916	FlyWire:720575940605055916	VFB_fw092592	flywire783	is_a	transmedullary neuron Tm33	FlyBase:FBrf0262545
720575940605061036	FlyWire:720575940605061036	VFB_fw086371	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940605062334	FlyWire:720575940605062334	VFB_fw070197	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605073632	FlyWire:720575940605073632	VFB_fw115113	flywire783	is_a	transmedullary neuron Tm5b	
720575940605076140	FlyWire:720575940605076140	VFB_fw086364	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940605087520	FlyWire:720575940605087520	VFB_fw071684	flywire783	is_a	distal medullary amacrine neuron Dm2	
720575940605095346	FlyWire:720575940605095346	VFB_fw006822	flywire783	is_a	unpaired neuron	
720575940605109984	FlyWire:720575940605109984	VFB_fw116887	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940605115360	FlyWire:720575940605115360	VFB_fw117040	flywire783	is_a	medulla intrinsic neuron Mi15	
720575940605123701	FlyWire:720575940605123701	VFB_fw085280	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940605124482	FlyWire:720575940605124482	VFB_fw001437	flywire783	is_a	adult fan-shaped body layer 4 tangential neuron	
720575940605128364	FlyWire:720575940605128364	VFB_fw095773	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940605138860	FlyWire:720575940605138860	VFB_fw096102	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
