ind_object_name	ind_object_id	Tbars	downstream	relation	upstream	subject_external_id	subject_external_db
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	1	5813067916	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	6	1352335144	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	6	1446100318	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	5	5813054376	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4	1	4	has_presynaptic_terminal_in		1753116740	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	3	1753116740	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4	50	356	has_presynaptic_terminal_in		1226789202	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	36	1226789202	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4	76	499	has_presynaptic_terminal_in		1383016399	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	69	1383016399	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4	16	123	has_presynaptic_terminal_in		1289213295	neuprint_JRC_Hemibrain_1point1
SAD(-AMMC) on JRC_FlyEM_Hemibrain	VFB_001012c4			has_postsynaptic_terminal_in	10	1289213295	neuprint_JRC_Hemibrain_1point1
