subject_external_id	subject_external_db	relation	object
295473813	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295473947	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295474250	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295474441	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295474876	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295477467	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295477903	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295478082	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295478389	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295482340	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295482551	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295482578	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295482646	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295490804	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
295490863	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
295779879	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295779961	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295780154	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295785459	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295793991	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295797312	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295798962	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295799057	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295802733	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295805243	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295807109	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295807429	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295814411	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295814565	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295814630	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295814895	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295814932	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295815100	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295815897	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295815955	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295816140	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295819960	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295819998	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295820056	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295820069	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295820085	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295823782	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
295827899	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
295828029	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295849217	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295849410	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296120593	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296139882	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296143798	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296143923	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296148102	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296153150	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296153261	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296155122	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296156918	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296160764	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296164879	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296168382	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296194535	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296199021	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296199026	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296199149	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203324	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203325	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203392	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203434	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203440	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203608	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296203623	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296479813	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296489073	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296496999	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296497316	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296501634	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296502002	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296502294	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296505463	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296509709	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296514350	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296531366	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296531421	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
296535619	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296535655	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296535868	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296543992	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296544262	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296544364	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296617104	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
296690817	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296829531	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296837846	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296838079	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296838229	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296838734	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296841676	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296842335	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296843037	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296846109	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296846314	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296846768	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296850634	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296851132	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296851235	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296851261	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
