filename	is_a	part_of	dbxrefs	label
40009	neuron	adult nervous system	male-cns_v0_9:40009	T1_L (MaleCNS:40009)
36278	neuron	adult nervous system	male-cns_v0_9:36278	T1_R (MaleCNS:36278)
38680	neuron	adult nervous system	male-cns_v0_9:38680	T1_R (MaleCNS:38680)
108940	neuron	adult nervous system	male-cns_v0_9:108940	T1_R (MaleCNS:108940)
96729	neuron	adult nervous system	male-cns_v0_9:96729	T1_L (MaleCNS:96729)
40107	neuron	adult nervous system	male-cns_v0_9:40107	T1_R (MaleCNS:40107)
54731	neuron	adult nervous system	male-cns_v0_9:54731	T1_R (MaleCNS:54731)
81495	neuron	adult nervous system	male-cns_v0_9:81495	T1_L (MaleCNS:81495)
51711	neuron	adult nervous system	male-cns_v0_9:51711	T1_R (MaleCNS:51711)
70253	neuron	adult nervous system	male-cns_v0_9:70253	T1_R (MaleCNS:70253)
51991	neuron	adult nervous system	male-cns_v0_9:51991	T1_R (MaleCNS:51991)
151225	neuron	adult nervous system	male-cns_v0_9:151225	T1_L (MaleCNS:151225)
43021	neuron	adult nervous system	male-cns_v0_9:43021	T1_R (MaleCNS:43021)
36564	neuron	adult nervous system	male-cns_v0_9:36564	T1_R (MaleCNS:36564)
73106	neuron	adult nervous system	male-cns_v0_9:73106	T1_L (MaleCNS:73106)
71662	neuron	adult nervous system	male-cns_v0_9:71662	T1_R (MaleCNS:71662)
110204	neuron	adult nervous system	male-cns_v0_9:110204	T1_R (MaleCNS:110204)
48190	neuron	adult nervous system	male-cns_v0_9:48190	T1_L (MaleCNS:48190)
41683	neuron	adult nervous system	male-cns_v0_9:41683	T1_R (MaleCNS:41683)
36483	neuron	adult nervous system	male-cns_v0_9:36483	T1_R (MaleCNS:36483)
64156	neuron	adult nervous system	male-cns_v0_9:64156	T1_R (MaleCNS:64156)
39545	neuron	adult nervous system	male-cns_v0_9:39545	T1_R (MaleCNS:39545)
55040	neuron	adult nervous system	male-cns_v0_9:55040	T1_R (MaleCNS:55040)
56979	neuron	adult nervous system	male-cns_v0_9:56979	T1_L (MaleCNS:56979)
39189	neuron	adult nervous system	male-cns_v0_9:39189	T1_R (MaleCNS:39189)
22423	neuron	adult nervous system	male-cns_v0_9:22423	T1_R (MaleCNS:22423)
81991	neuron	adult nervous system	male-cns_v0_9:81991	T1_L (MaleCNS:81991)
51110	neuron	adult nervous system	male-cns_v0_9:51110	T1_L (MaleCNS:51110)
68053	neuron	adult nervous system	male-cns_v0_9:68053	T1_R (MaleCNS:68053)
82632	neuron	adult nervous system	male-cns_v0_9:82632	T1_L (MaleCNS:82632)
128646	neuron	adult nervous system	male-cns_v0_9:128646	T1_R (MaleCNS:128646)
82078	neuron	adult nervous system	male-cns_v0_9:82078	T1_L (MaleCNS:82078)
542324	neuron	adult nervous system	male-cns_v0_9:542324	T1_L (MaleCNS:542324)
40251	neuron	adult nervous system	male-cns_v0_9:40251	T1_R (MaleCNS:40251)
72878	neuron	adult nervous system	male-cns_v0_9:72878	T1_R (MaleCNS:72878)
146451	neuron	adult nervous system	male-cns_v0_9:146451	T1_L (MaleCNS:146451)
16227	neuron	adult nervous system	male-cns_v0_9:16227	T1_L (MaleCNS:16227)
73322	neuron	adult nervous system	male-cns_v0_9:73322	T1_L (MaleCNS:73322)
43653	neuron	adult nervous system	male-cns_v0_9:43653	T1_R (MaleCNS:43653)
37629	neuron	adult nervous system	male-cns_v0_9:37629	T1_R (MaleCNS:37629)
48076	neuron	adult nervous system	male-cns_v0_9:48076	T1_R (MaleCNS:48076)
152497	neuron	adult nervous system	male-cns_v0_9:152497	T1_L (MaleCNS:152497)
40827	neuron	adult nervous system	male-cns_v0_9:40827	T1_R (MaleCNS:40827)
48497	neuron	adult nervous system	male-cns_v0_9:48497	T1_L (MaleCNS:48497)
545733	neuron	adult nervous system	male-cns_v0_9:545733	T1_L (MaleCNS:545733)
38131	neuron	adult nervous system	male-cns_v0_9:38131	T1_R (MaleCNS:38131)
43757	neuron	adult nervous system	male-cns_v0_9:43757	T1_R (MaleCNS:43757)
37561	neuron	adult nervous system	male-cns_v0_9:37561	T1_R (MaleCNS:37561)
44526	neuron	adult nervous system	male-cns_v0_9:44526	T1_R (MaleCNS:44526)
56910	neuron	adult nervous system	male-cns_v0_9:56910	T1_R (MaleCNS:56910)
43348	neuron	adult nervous system	male-cns_v0_9:43348	T1_R (MaleCNS:43348)
33872	neuron	adult nervous system	male-cns_v0_9:33872	T1_R (MaleCNS:33872)
150644	neuron	adult nervous system	male-cns_v0_9:150644	T1_L (MaleCNS:150644)
515694	neuron	adult nervous system	male-cns_v0_9:515694	T1_L (MaleCNS:515694)
76154	neuron	adult nervous system	male-cns_v0_9:76154	T1_L (MaleCNS:76154)
55701	neuron	adult nervous system	male-cns_v0_9:55701	T1_L (MaleCNS:55701)
543532	neuron	adult nervous system	male-cns_v0_9:543532	T1_R (MaleCNS:543532)
137672	neuron	adult nervous system	male-cns_v0_9:137672	T1_L (MaleCNS:137672)
122603	neuron	adult nervous system	male-cns_v0_9:122603	T1_L (MaleCNS:122603)
903800	neuron	adult nervous system	male-cns_v0_9:903800	T1_L (MaleCNS:903800)
147454	neuron	adult nervous system	male-cns_v0_9:147454	T1_L (MaleCNS:147454)
