filename	is_a	part_of	label	comment	dbxrefs
12181	adult neuron	male organism	AVLP593_R (JRC_OpticLobe:12181)	status-Traced, status label-Prelim Roughly traced, Optic Lobe classification: type-AVLP593	neuprint_JRC_OpticLobe_v1_0:12181
11237	adult neuron	male organism	AVLP594_R (JRC_OpticLobe:11237)	status-Traced, status label-Prelim Roughly traced, Optic Lobe classification: type-AVLP594	neuprint_JRC_OpticLobe_v1_0:11237
10093	adult neuron	male organism	Am1_R (JRC_OpticLobe:10093)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Am1	neuprint_JRC_OpticLobe_v1_0:10093
109648	adult neuron	male organism	C2_R (JRC_OpticLobe:109648)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:109648
72965	adult neuron	male organism	C2_R (JRC_OpticLobe:72965)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:72965
103806	adult neuron	male organism	C2_R (JRC_OpticLobe:103806)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103806
122002	adult neuron	male organism	C2_R (JRC_OpticLobe:122002)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:122002
101175	adult neuron	male organism	C2_R (JRC_OpticLobe:101175)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101175
123476	adult neuron	male organism	C2_R (JRC_OpticLobe:123476)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:123476
90104	adult neuron	male organism	C2_R (JRC_OpticLobe:90104)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:90104
77471	adult neuron	male organism	C2_R (JRC_OpticLobe:77471)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:77471
107228	adult neuron	male organism	C2_R (JRC_OpticLobe:107228)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:107228
102606	adult neuron	male organism	C2_R (JRC_OpticLobe:102606)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:102606
130331	adult neuron	male organism	C2_R (JRC_OpticLobe:130331)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:130331
96228	adult neuron	male organism	C2_R (JRC_OpticLobe:96228)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:96228
76337	adult neuron	male organism	C2_R (JRC_OpticLobe:76337)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:76337
111226	adult neuron	male organism	C2_R (JRC_OpticLobe:111226)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:111226
133983	adult neuron	male organism	C2_R (JRC_OpticLobe:133983)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:133983
80600	adult neuron	male organism	C2_R (JRC_OpticLobe:80600)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:80600
82660	adult neuron	male organism	C2_R (JRC_OpticLobe:82660)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82660
78424	adult neuron	male organism	C2_R (JRC_OpticLobe:78424)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78424
134781	adult neuron	male organism	C2_R (JRC_OpticLobe:134781)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:134781
100380	adult neuron	male organism	C2_R (JRC_OpticLobe:100380)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100380
168756	adult neuron	male organism	C2_R (JRC_OpticLobe:168756)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:168756
103796	adult neuron	male organism	C2_R (JRC_OpticLobe:103796)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103796
98537	adult neuron	male organism	C2_R (JRC_OpticLobe:98537)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98537
80910	adult neuron	male organism	C2_R (JRC_OpticLobe:80910)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:80910
100254	adult neuron	male organism	C2_R (JRC_OpticLobe:100254)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100254
81464	adult neuron	male organism	C2_R (JRC_OpticLobe:81464)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81464
128068	adult neuron	male organism	C2_R (JRC_OpticLobe:128068)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:128068
82156	adult neuron	male organism	C2_R (JRC_OpticLobe:82156)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82156
104205	adult neuron	male organism	C2_R (JRC_OpticLobe:104205)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:104205
78077	adult neuron	male organism	C2_R (JRC_OpticLobe:78077)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78077
96668	adult neuron	male organism	C2_R (JRC_OpticLobe:96668)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:96668
102011	adult neuron	male organism	C2_R (JRC_OpticLobe:102011)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:102011
491695	adult neuron	male organism	C2_R (JRC_OpticLobe:491695)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:491695
85894	adult neuron	male organism	C2_R (JRC_OpticLobe:85894)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:85894
97218	adult neuron	male organism	C2_R (JRC_OpticLobe:97218)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:97218
90951	adult neuron	male organism	C2_R (JRC_OpticLobe:90951)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:90951
338424	adult neuron	male organism	C2_R (JRC_OpticLobe:338424)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:338424
89124	adult neuron	male organism	C2_R (JRC_OpticLobe:89124)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:89124
69025	adult neuron	male organism	C2_R (JRC_OpticLobe:69025)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:69025
95360	adult neuron	male organism	C2_R (JRC_OpticLobe:95360)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95360
46214	adult neuron	male organism	C2_R (JRC_OpticLobe:46214)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:46214
61400	adult neuron	male organism	C2_R (JRC_OpticLobe:61400)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:61400
