filename	label	is_a	part_of	dbxrefs
4665627	N2_right	neuron	embryonic/larval nervous system	catmaid_l1em:4665627
5091874	DPLm1(D CB)3_left	neuron	embryonic/larval nervous system	catmaid_l1em:5091874
5321459	O ; BAmd1 v_right	neuron	embryonic/larval nervous system	catmaid_l1em:5321459
5480553	LP: BAmas d 3_right	neuron	embryonic/larval nervous system	catmaid_l1em:5480553
5516552	I ; Bala12 #9_right	neuron	embryonic/larval nervous system	catmaid_l1em:5516552
5560620	BAmas12 7 d right	neuron	embryonic/larval nervous system	catmaid_l1em:5560620
5592307	BAmas12 dor 12 d right	neuron	embryonic/larval nervous system	catmaid_l1em:5592307
5679304	ASB TODO left from mPN 6	neuron	embryonic/larval nervous system	catmaid_l1em:5679304
5681132	DE: CPe 1_left	neuron	embryonic/larval nervous system	catmaid_l1em:5681132
5738449	W_right	neuron	embryonic/larval nervous system	catmaid_l1em:5738449
5870071	DALv23 L LAL #2 counterpart left	neuron	embryonic/larval nervous system	catmaid_l1em:5870071
5934511	BL ; CM13 med 4_right	neuron	embryonic/larval nervous system	catmaid_l1em:5934511
6290724	C ; DALcl12 L d 2_right	neuron	embryonic/larval nervous system	catmaid_l1em:6290724
6300434	DALcl12 d 3 neuron 6300435 right	neuron	embryonic/larval nervous system	catmaid_l1em:6300434
6591182	bilateral L	neuron	embryonic/larval nervous system	catmaid_l1em:6591182
6597872	bilateral R	neuron	embryonic/larval nervous system	catmaid_l1em:6597872
7026287	BN ; DALcm12 L m ant lat 3_left	neuron	embryonic/larval nervous system	catmaid_l1em:7026287
7058243	DALcm12 r 11-21-13 neuron left hemisphere 3; DALcm12 L v ap 5	neuron	embryonic/larval nervous system	catmaid_l1em:7058243
7313896	SEZ FFN left	neuron	embryonic/larval nervous system	catmaid_l1em:7313896
7421507	DALl1 2 right	neuron	embryonic/larval nervous system	catmaid_l1em:7421507
7540581	I ; Bala12 #9_left	neuron	embryonic/larval nervous system	catmaid_l1em:7540581
7574701	DE: CPe 1_right	neuron	embryonic/larval nervous system	catmaid_l1em:7574701
7594047	BF ; F3 pair; CP4 2_right	neuron	embryonic/larval nervous system	catmaid_l1em:7594047
7980369	BN ; DALcm12 L m ant lat 3_right	neuron	embryonic/larval nervous system	catmaid_l1em:7980369
8007556	oct1_right	neuron	embryonic/larval nervous system	catmaid_l1em:8007556
