filename	is_a	part_of	Imaging_type	Template	dbxrefs	label	comment
1703479954	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1703479954	DC2_adPN_L (FlyEM-HB:1703479954)	Newly typed in 1.2.1
850898421	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:850898421	DM3_adPN_L (FlyEM-HB:850898421)	Newly typed in 1.2.1
5813013185	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813013185	SMP271(PDL20)_L (FlyEM-HB:5813013185)	Newly typed in 1.2.1
519694628	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:519694628	SMP333(PDM07)_L (FlyEM-HB:519694628)	Newly typed in 1.2.1
1889335463	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1889335463	DC2_adPN_L (FlyEM-HB:1889335463)	Newly typed in 1.2.1
916029180	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:916029180	CL175(PDM11)_L (FlyEM-HB:916029180)	Newly typed in 1.2.1
5813013547	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813013547	SMP316(PDM06)_L (FlyEM-HB:5813013547)	Newly typed in 1.2.1
543934429	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:543934429	SMP531(PDM24)_L (FlyEM-HB:543934429)	Newly typed in 1.2.1
361787030	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:361787030	SMP041(ADL25)_L (FlyEM-HB:361787030)	Newly typed in 1.2.1
946722969	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:946722969	CL273(PVL06)_L (FlyEM-HB:946722969)	Newly typed in 1.2.1
5901195610	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5901195610	DM5_lPN_L (FlyEM-HB:5901195610)	Newly typed in 1.2.1
791505612	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:791505612	CL030(ADL25)_L (FlyEM-HB:791505612)	Newly typed in 1.2.1
613191512	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:613191512	CL129(PDL11)_L (FlyEM-HB:613191512)	Newly typed in 1.2.1
546312597	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:546312597	SMP198(PDL06)_L (FlyEM-HB:546312597)	Newly typed in 1.2.1
5813057542	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813057542	VM7d_adPN_L (FlyEM-HB:5813057542)	Newly typed in 1.2.1
913650068	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:913650068	VM7d_adPN_L (FlyEM-HB:913650068)	Newly typed in 1.2.1
820545761	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:820545761	VM7v_adPN_L (FlyEM-HB:820545761)	Newly typed in 1.2.1
766653529	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:766653529	LHAD2b1(ADL27)_R (FlyEM-HB:766653529)	Newly typed in 1.2.1
579428619	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:579428619	SMP010(ADL07)_L (FlyEM-HB:579428619)	Newly typed in 1.2.1
5813011067	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813011067	CL029(ADL25)_L (FlyEM-HB:5813011067)	Newly typed in 1.2.1
