filename	synonyms	is_a	part_of	label	Template
103	AMMC_L	antennal mechanosensory and motor center	female organism|adult brain|left side of organism	AMMC_L on JRC2018Unisex	JRC2018Unisex_c
104	AMMC_R	antennal mechanosensory and motor center	female organism|adult brain|right side of organism	AMMC_R on JRC2018Unisex	JRC2018Unisex_c
105	AOTU_L	anterior optic tubercle	female organism|adult brain|left side of organism	AOTU_L on JRC2018Unisex	JRC2018Unisex_c
106	AOTU_R	anterior optic tubercle	female organism|adult brain|right side of organism	AOTU_R on JRC2018Unisex	JRC2018Unisex_c
107	ATL_L	antler	female organism|adult brain|left side of organism	ATL_L on JRC2018Unisex	JRC2018Unisex_c
108	ATL_R	antler	female organism|adult brain|right side of organism	ATL_R on JRC2018Unisex	JRC2018Unisex_c
109	AVLP_L	anterior ventrolateral protocerebrum	female organism|adult brain|left side of organism	AVLP_L on JRC2018Unisex	JRC2018Unisex_c
110	AVLP_R	anterior ventrolateral protocerebrum	female organism|adult brain|right side of organism	AVLP_R on JRC2018Unisex	JRC2018Unisex_c
111	BU_L	bulb	female organism|adult brain|left side of organism	BU_L on JRC2018Unisex	JRC2018Unisex_c
112	BU_R	bulb	female organism|adult brain|right side of organism	BU_R on JRC2018Unisex	JRC2018Unisex_c
113	CAN_L	cantle	female organism|adult brain|left side of organism	CAN_L on JRC2018Unisex	JRC2018Unisex_c
114	CAN_R	cantle	female organism|adult brain|right side of organism	CAN_R on JRC2018Unisex	JRC2018Unisex_c
115	CRE_L	adult crepine	female organism|adult brain|left side of organism	CRE_L on JRC2018Unisex	JRC2018Unisex_c
116	CRE_R	adult crepine	female organism|adult brain|right side of organism	CRE_R on JRC2018Unisex	JRC2018Unisex_c
117	EB	ellipsoid body	female organism|adult brain	EB on JRC2018Unisex	JRC2018Unisex_c
118	EPA_L	epaulette	female organism|adult brain|left side of organism	EPA_L on JRC2018Unisex	JRC2018Unisex_c
119	EPA_R	epaulette	female organism|adult brain|right side of organism	EPA_R on JRC2018Unisex	JRC2018Unisex_c
120	FB	fan-shaped body	female organism|adult brain	FB on JRC2018Unisex	JRC2018Unisex_c
121	FLA_L	flange	female organism|adult brain|left side of organism	FLA_L on JRC2018Unisex	JRC2018Unisex_c
122	FLA_R	flange	female organism|adult brain|right side of organism	FLA_R on JRC2018Unisex	JRC2018Unisex_c
123	GA_L	gall	female organism|adult brain|left side of organism	GA_L on JRC2018Unisex	JRC2018Unisex_c
124	GA_R	gall	female organism|adult brain|right side of organism	GA_R on JRC2018Unisex	JRC2018Unisex_c
125	GNG	gnathal ganglion	female organism|adult brain	GNG on JRC2018Unisex	JRC2018Unisex_c
126	GOR_L	gorget	female organism|adult brain|left side of organism	GOR_L on JRC2018Unisex	JRC2018Unisex_c
127	GOR_R	gorget	female organism|adult brain|right side of organism	GOR_R on JRC2018Unisex	JRC2018Unisex_c
128	IB_L	inferior bridge	female organism|adult brain|left side of organism	IB_L on JRC2018Unisex	JRC2018Unisex_c
129	IB_R	inferior bridge	female organism|adult brain|right side of organism	IB_R on JRC2018Unisex	JRC2018Unisex_c
130	ICL_L	inferior clamp	female organism|adult brain|left side of organism	ICL_L on JRC2018Unisex	JRC2018Unisex_c
131	ICL_R	inferior clamp	female organism|adult brain|right side of organism	ICL_R on JRC2018Unisex	JRC2018Unisex_c
132	IPS_L	inferior posterior slope	female organism|adult brain|left side of organism	IPS_L on JRC2018Unisex	JRC2018Unisex_c
133	IPS_R	inferior posterior slope	female organism|adult brain|right side of organism	IPS_R on JRC2018Unisex	JRC2018Unisex_c
134	LAL_L	adult lateral accessory lobe	female organism|adult brain|left side of organism	LAL_L on JRC2018Unisex	JRC2018Unisex_c
135	LAL_R	adult lateral accessory lobe	female organism|adult brain|right side of organism	LAL_R on JRC2018Unisex	JRC2018Unisex_c
136	LH_L	adult lateral horn	female organism|adult brain|left side of organism	LH_L on JRC2018Unisex	JRC2018Unisex_c
137	LH_R	adult lateral horn	female organism|adult brain|right side of organism	LH_R on JRC2018Unisex	JRC2018Unisex_c
138	MB_CA_L	calyx of adult mushroom body	female organism|adult brain|left side of organism	MB_CA_L on JRC2018Unisex	JRC2018Unisex_c
139	MB_CA_R	calyx of adult mushroom body	female organism|adult brain|right side of organism	MB_CA_R on JRC2018Unisex	JRC2018Unisex_c
140	MB_ML_L	medial lobe of adult mushroom body	female organism|adult brain|left side of organism	MB_ML_L on JRC2018Unisex	JRC2018Unisex_c
141	MB_ML_R	medial lobe of adult mushroom body	female organism|adult brain|right side of organism	MB_ML_R on JRC2018Unisex	JRC2018Unisex_c
142	MB_PED_L	pedunculus of adult mushroom body	female organism|adult brain|left side of organism	MB_PED_L on JRC2018Unisex	JRC2018Unisex_c
143	MB_PED_R	pedunculus of adult mushroom body	female organism|adult brain|right side of organism	MB_PED_R on JRC2018Unisex	JRC2018Unisex_c
144	MB_VL_L	vertical lobe of adult mushroom body	female organism|adult brain|left side of organism	MB_VL_L on JRC2018Unisex	JRC2018Unisex_c
145	MB_VL_R	vertical lobe of adult mushroom body	female organism|adult brain|right side of organism	MB_VL_R on JRC2018Unisex	JRC2018Unisex_c
146	NO	nodulus	female organism|adult brain	NO on JRC2018Unisex	JRC2018Unisex_c
147	PB	protocerebral bridge	female organism|adult brain	PB on JRC2018Unisex	JRC2018Unisex_c
148	PLP_L	posterior lateral protocerebrum	female organism|adult brain|left side of organism	PLP_L on JRC2018Unisex	JRC2018Unisex_c
149	PLP_R	posterior lateral protocerebrum	female organism|adult brain|right side of organism	PLP_R on JRC2018Unisex	JRC2018Unisex_c
150	PRW	prow	female organism|adult brain	PRW on JRC2018Unisex	JRC2018Unisex_c
151	PVLP_L	posterior ventrolateral protocerebrum	female organism|adult brain|left side of organism	PVLP_L on JRC2018Unisex	JRC2018Unisex_c
152	PVLP_R	posterior ventrolateral protocerebrum	female organism|adult brain|right side of organism	PVLP_R on JRC2018Unisex	JRC2018Unisex_c
153	SAD	saddle	female organism|adult brain	SAD on JRC2018Unisex	JRC2018Unisex_c
154	SCL_L	superior clamp	female organism|adult brain|left side of organism	SCL_L on JRC2018Unisex	JRC2018Unisex_c
155	SCL_R	superior clamp	female organism|adult brain|right side of organism	SCL_R on JRC2018Unisex	JRC2018Unisex_c
156	SIP_L	superior intermediate protocerebrum	female organism|adult brain|left side of organism	SIP_L on JRC2018Unisex	JRC2018Unisex_c
157	SIP_R	superior intermediate protocerebrum	female organism|adult brain|right side of organism	SIP_R on JRC2018Unisex	JRC2018Unisex_c
158	SLP_L	superior lateral protocerebrum	female organism|adult brain|left side of organism	SLP_L on JRC2018Unisex	JRC2018Unisex_c
159	SLP_R	superior lateral protocerebrum	female organism|adult brain|right side of organism	SLP_R on JRC2018Unisex	JRC2018Unisex_c
160	SMP_L	superior medial protocerebrum	female organism|adult brain|left side of organism	SMP_L on JRC2018Unisex	JRC2018Unisex_c
161	SMP_R	superior medial protocerebrum	female organism|adult brain|right side of organism	SMP_R on JRC2018Unisex	JRC2018Unisex_c
162	SPS_L	superior posterior slope	female organism|adult brain|left side of organism	SPS_L on JRC2018Unisex	JRC2018Unisex_c
163	SPS_R	superior posterior slope	female organism|adult brain|right side of organism	SPS_R on JRC2018Unisex	JRC2018Unisex_c
164	VES_L	vest	female organism|adult brain|left side of organism	VES_L on JRC2018Unisex	JRC2018Unisex_c
165	VES_R	vest	female organism|adult brain|right side of organism	VES_R on JRC2018Unisex	JRC2018Unisex_c
166	WED_L	wedge	female organism|adult brain|left side of organism	WED_L on JRC2018Unisex	JRC2018Unisex_c
167	WED_R	wedge	female organism|adult brain|right side of organism	WED_R on JRC2018Unisex	JRC2018Unisex_c
168	AME_L	accessory medulla	female organism|adult brain|left side of organism	AME_L on JRC2018Unisex	JRC2018Unisex_c
169	AME_R	accessory medulla	female organism|adult brain|right side of organism	AME_R on JRC2018Unisex	JRC2018Unisex_c
172	LOP_L	lobula plate	female organism|adult brain|left side of organism	LOP_L on JRC2018Unisex	JRC2018Unisex_c
173	LOP_R	lobula plate	female organism|adult brain|right side of organism	LOP_R on JRC2018Unisex	JRC2018Unisex_c
170	LO_L	lobula	female organism|adult brain|left side of organism	LO_L on JRC2018Unisex	JRC2018Unisex_c
171	LO_R	lobula	female organism|adult brain|right side of organism	LO_R on JRC2018Unisex	JRC2018Unisex_c
174	ME_L	medulla	female organism|adult brain|left side of organism	ME_L on JRC2018Unisex	JRC2018Unisex_c
175	ME_R	medulla	female organism|adult brain|right side of organism	ME_R on JRC2018Unisex	JRC2018Unisex_c
410	ADMN(L)	adult anterior dorsal mesothoracic nerve	female organism|adult ventral nerve cord|left side of organism	ADMN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
411	ADMN(R)	adult anterior dorsal mesothoracic nerve	female organism|adult ventral nerve cord|right side of organism	ADMN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
401	AbN1(L)	adult first abdominal nerve	female organism|adult ventral nerve cord|left side of organism	AbN1(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
402	AbN1(R)	adult first abdominal nerve	female organism|adult ventral nerve cord|right side of organism	AbN1(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
403	AbN2(L)	adult second abdominal nerve	female organism|adult ventral nerve cord|left side of organism	AbN2(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
404	AbN2(R)	adult second abdominal nerve	female organism|adult ventral nerve cord|right side of organism	AbN2(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
405	AbN3(L)	adult third abdominal nerve	female organism|adult ventral nerve cord|left side of organism	AbN3(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
406	AbN3(R)	adult third abdominal nerve	female organism|adult ventral nerve cord|right side of organism	AbN3(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
407	AbN4(L)	adult fourth abdominal nerve	female organism|adult ventral nerve cord|left side of organism	AbN4(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
408	AbN4(R)	adult fourth abdominal nerve	female organism|adult ventral nerve cord|right side of organism	AbN4(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
409	AbNT	adult abdominal nerve trunk	female organism|adult ventral nerve cord	AbNT on JRC2018UnisexVNC	JRC2018UnisexVNC_c
412	CvN(L)	adult cervical nerve	female organism|adult ventral nerve cord|left side of organism	CvN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
413	CvN(R)	adult cervical nerve	female organism|adult ventral nerve cord|right side of organism	CvN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
414	DMetaN(L)	adult dorsal metathoracic nerve	female organism|adult ventral nerve cord|left side of organism	DMetaN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
415	DMetaN(R)	adult dorsal metathoracic nerve	female organism|adult ventral nerve cord|right side of organism	DMetaN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
416	DProN(L)	adult dorsal prothoracic nerve	female organism|adult ventral nerve cord|left side of organism	DProN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
417	DProN(R)	adult dorsal prothoracic nerve	female organism|adult ventral nerve cord|right side of organism	DProN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
418	MesoAN(L)	adult mesothoracic accessory nerve	female organism|adult ventral nerve cord|left side of organism	MesoAN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
419	MesoAN(R)	adult mesothoracic accessory nerve	female organism|adult ventral nerve cord|right side of organism	MesoAN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
420	MesoLN(L)	adult mesothoracic leg nerve	female organism|adult ventral nerve cord|left side of organism	MesoLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
421	MesoLN(R)	adult mesothoracic leg nerve	female organism|adult ventral nerve cord|right side of organism	MesoLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
422	MetaLN(L)	adult metathoracic leg nerve	female organism|adult ventral nerve cord|left side of organism	MetaLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
423	MetaLN(R)	adult metathoracic leg nerve	female organism|adult ventral nerve cord|right side of organism	MetaLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
424	PDMN(L)	adult posterior dorsal mesothoracic nerve	female organism|adult ventral nerve cord|left side of organism	PDMN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
425	PDMN(R)	adult posterior dorsal mesothoracic nerve	female organism|adult ventral nerve cord|right side of organism	PDMN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
426	PrN(L)	adult prosternal nerve	female organism|adult ventral nerve cord|left side of organism	PrN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
427	PrN(R)	adult prosternal nerve	female organism|adult ventral nerve cord|right side of organism	PrN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
428	ProAN(L)	adult prothoracic accessory nerve	female organism|adult ventral nerve cord|left side of organism	ProAN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
429	ProAN(R)	adult prothoracic accessory nerve	female organism|adult ventral nerve cord|right side of organism	ProAN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
430	ProCN(L)	adult prothoracic chordotonal nerve	female organism|adult ventral nerve cord|left side of organism	ProCN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
431	ProCN(R)	adult prothoracic chordotonal nerve	female organism|adult ventral nerve cord|right side of organism	ProCN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
432	ProLN(L)	adult prothoracic leg nerve	female organism|adult ventral nerve cord|left side of organism	ProLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
433	ProLN(R)	adult prothoracic leg nerve	female organism|adult ventral nerve cord|right side of organism	ProLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
434	VProN(L)	adult ventral prothoracic nerve	female organism|adult ventral nerve cord|left side of organism	VProN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
435	VProN(R)	adult ventral prothoracic nerve	female organism|adult ventral nerve cord|right side of organism	VProN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
318	CVL_L	adult curved ventrolateral tract	female organism|adult ventral nerve cord|left side of organism	CVL_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
319	CVL_R	adult curved ventrolateral tract	female organism|adult ventral nerve cord|right side of organism	CVL_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
320	DLT_L	dorsal lateral tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	DLT_L (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
321	DLT_R	dorsal lateral tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	DLT_R (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
322	DLV_L	dorsal lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	DLV_L (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
323	DLV_R	dorsal lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	DLV_R (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
324	DMT_L	adult dorsal median tract	female organism|adult ventral nerve cord|left side of organism	DMT_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
325	DMT_R	adult dorsal median tract	female organism|adult ventral nerve cord|right side of organism	DMT_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
326	ITD_L	intermediate tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	ITD_L (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
327	ITD_R	intermediate tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	ITD_R (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
328	MDA_L	median dorsal abdominal tract	female organism|adult ventral nerve cord|left side of organism	MDA_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
329	MDA_R	median dorsal abdominal tract	female organism|adult ventral nerve cord|right side of organism	MDA_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
336	VLT_L	ventral lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	VLT_L (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
337	VLT_R	ventral lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	VLT_R (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
338	VTV_L	ventral median tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	VTV_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
339	VTV_R	ventral median tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	VTV_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
334	type-III_MTD_L	adult median tract of dorsal cervical fasciculus III	female organism|adult ventral nerve cord|left side of organism	type-III_MTD_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
335	type-III_MTD_R	adult median tract of dorsal cervical fasciculus III	female organism|adult ventral nerve cord|right side of organism	type-III_MTD_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
332	type-II_MTD_L	adult median tract of dorsal cervical fasciculus II	female organism|adult ventral nerve cord|left side of organism	type-II_MTD_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
333	type-II_MTD_R	adult median tract of dorsal cervical fasciculus II	female organism|adult ventral nerve cord|right side of organism	type-II_MTD_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
330	type-I_MTD_L	adult median tract of dorsal cervical fasciculus I	female organism|adult ventral nerve cord|left side of organism	type-I_MTD_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
331	type-I_MTD_R	adult median tract of dorsal cervical fasciculus I	female organism|adult ventral nerve cord|right side of organism	type-I_MTD_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
212	AMNp_L	adult accessory mesothoracic neuropil	female organism|adult ventral nerve cord|left side of organism	AMNp_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
213	AMNp_R	adult accessory mesothoracic neuropil	female organism|adult ventral nerve cord|right side of organism	AMNp_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
214	ANm	adult abdominal neuromere	female organism|adult ventral nerve cord	ANm on JRC2018UnisexVNC	JRC2018UnisexVNC_c
216	HTct_UTct_T3_L	haltere neuropil	female organism|adult ventral nerve cord|left side of organism	HTct_UTct_T3_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
217	HTct_UTct_T3_R	haltere neuropil	female organism|adult ventral nerve cord|right side of organism	HTct_UTct_T3_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
218	IntTct	intermediate tectulum	female organism|adult ventral nerve cord	IntTct (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
219	LNp_T1_L	adult T1 leg neuropil	female organism|adult ventral nerve cord|left side of organism	LNp_T1_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
220	LNp_T1_R	adult T1 leg neuropil	female organism|adult ventral nerve cord|right side of organism	LNp_T1_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
221	LNp_T2_L	adult T2 leg neuropil	female organism|adult ventral nerve cord|left side of organism	LNp_T2_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
222	LNp_T2_R	adult T2 leg neuropil	female organism|adult ventral nerve cord|right side of organism	LNp_T2_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
223	LNp_T3_L	adult T3 leg neuropil	female organism|adult ventral nerve cord|left side of organism	LNp_T3_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
224	LNp_T3_R	adult T3 leg neuropil	female organism|adult ventral nerve cord|right side of organism	LNp_T3_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
225	LTct	lower tectulum	female organism|adult ventral nerve cord	LTct (MANC) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
232	NTct_UTct_T1_L	neck neuropil	female organism|adult ventral nerve cord|left side of organism	NTct_UTct_T1_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
233	NTct_UTct_T1_R	neck neuropil	female organism|adult ventral nerve cord|right side of organism	NTct_UTct_T1_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
234	WTct_UTct_T2_L	wing neuropil	female organism|adult ventral nerve cord|left side of organism	WTct_UTct_T2_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
235	WTct_UTct_T2_R	wing neuropil	female organism|adult ventral nerve cord|right side of organism	WTct_UTct_T2_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
215	cervical_connective	adult cervical connective	female organism|adult ventral nerve cord	cervical_connective on JRC2018UnisexVNC	JRC2018UnisexVNC_c
226	mVAC_T1_L	medial ventral association center	female organism|adult ventral nerve cord|left side of organism	mVAC_T1_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
227	mVAC_T1_R	medial ventral association center	female organism|adult ventral nerve cord|right side of organism	mVAC_T1_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
228	mVAC_T2_L	medial ventral association center	female organism|adult ventral nerve cord|left side of organism	mVAC_T2_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
229	mVAC_T2_R	medial ventral association center	female organism|adult ventral nerve cord|right side of organism	mVAC_T2_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
230	mVAC_T3_L	medial ventral association center	female organism|adult ventral nerve cord|left side of organism	mVAC_T3_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
231	mVAC_T3_R	medial ventral association center	female organism|adult ventral nerve cord|right side of organism	mVAC_T3_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
503	DA1_L	antennal lobe glomerulus DA1	female organism|adult brain|left side of organism	DA1_L on JRC2018Unisex	JRC2018Unisex_c
504	DA1_R	antennal lobe glomerulus DA1	female organism|adult brain|right side of organism	DA1_R on JRC2018Unisex	JRC2018Unisex_c
505	DA2_L	antennal lobe glomerulus DA2	female organism|adult brain|left side of organism	DA2_L on JRC2018Unisex	JRC2018Unisex_c
506	DA2_R	antennal lobe glomerulus DA2	female organism|adult brain|right side of organism	DA2_R on JRC2018Unisex	JRC2018Unisex_c
507	DA3_L	antennal lobe glomerulus DA3	female organism|adult brain|left side of organism	DA3_L on JRC2018Unisex	JRC2018Unisex_c
508	DA3_R	antennal lobe glomerulus DA3	female organism|adult brain|right side of organism	DA3_R on JRC2018Unisex	JRC2018Unisex_c
509	DA4l_L	antennal lobe glomerulus DA4l	female organism|adult brain|left side of organism	DA4l_L on JRC2018Unisex	JRC2018Unisex_c
510	DA4l_R	antennal lobe glomerulus DA4l	female organism|adult brain|right side of organism	DA4l_R on JRC2018Unisex	JRC2018Unisex_c
