filename	label	is_a	part_of	Curator	DataSet	Template	Imaging_type	synonyms
AL-DM5(R)	AL-DM5(R)	antennal lobe glomerulus DM5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM5(R) on JRC_FlyEM_Hemibrain
AL-DM6(L)	AL-DM6(L)	antennal lobe glomerulus DM6	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM6(L) on JRC_FlyEM_Hemibrain
AL-DM6(R)	AL-DM6(R)	antennal lobe glomerulus DM6	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM6(R) on JRC_FlyEM_Hemibrain
AL-DP1l(R)	AL-DP1l(R)	antennal lobe glomerulus DP1l	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DP1l(R) on JRC_FlyEM_Hemibrain
AL-DP1m(L)	AL-DP1m(L)	antennal lobe glomerulus DP1m	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DP1m(L) on JRC_FlyEM_Hemibrain
AL-DP1m(R)	AL-DP1m(R)	antennal lobe glomerulus DP1m	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DP1m(R) on JRC_FlyEM_Hemibrain
AL-V(R)	AL-V(R)	antennal lobe glomerulus V	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-V(R) on JRC_FlyEM_Hemibrain
AL-VA1d(R)	AL-VA1d(R)	antennal lobe glomerulus VA1d	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA1d(R) on JRC_FlyEM_Hemibrain
AL-VA1v(R)	AL-VA1v(R)	antennal lobe glomerulus VA1v	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA1v(R) on JRC_FlyEM_Hemibrain
AL-VA2(R)	AL-VA2(R)	antennal lobe glomerulus VA2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA2(R) on JRC_FlyEM_Hemibrain
AL-VA3(R)	AL-VA3(R)	antennal lobe glomerulus VA3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA3(R) on JRC_FlyEM_Hemibrain
AL-VA4(R)	AL-VA4(R)	antennal lobe glomerulus VA4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA4(R) on JRC_FlyEM_Hemibrain
AL-VA5(R)	AL-VA5(R)	antennal lobe glomerulus VA5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA5(R) on JRC_FlyEM_Hemibrain
AL-VA6(L)	AL-VA6(L)	antennal lobe glomerulus VA6	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA6(L) on JRC_FlyEM_Hemibrain
AL-VA6(R)	AL-VA6(R)	antennal lobe glomerulus VA6	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA6(R) on JRC_FlyEM_Hemibrain
AL-VA7l(R)	AL-VA7l(R)	antennal lobe glomerulus VA7l	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA7l(R) on JRC_FlyEM_Hemibrain
AL-VA7m(R)	AL-VA7m(R)	antennal lobe glomerulus VA7m	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VA7m(R) on JRC_FlyEM_Hemibrain
AL-VC1(R)	AL-VC1(R)	antennal lobe glomerulus VC1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC1(R) on JRC_FlyEM_Hemibrain
AL-VC2(R)	AL-VC2(R)	antennal lobe glomerulus VC2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC2(R) on JRC_FlyEM_Hemibrain
AL-VC3l(R)	AL-VC3l(R)	antennal lobe glomerulus VC3l	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC3l(R) on JRC_FlyEM_Hemibrain
AL-VC3m(R)	AL-VC3m(R)	antennal lobe glomerulus VC3m	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC3m(R) on JRC_FlyEM_Hemibrain
AL-VC4(R)	AL-VC4(R)	antennal lobe glomerulus VC4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC4(R) on JRC_FlyEM_Hemibrain
AL-VC5(R)	AL-VC5(R)	antennal lobe glomerulus VC5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VC5(R) on JRC_FlyEM_Hemibrain
AL-VL1(R)	AL-VL1(R)	antennal lobe glomerulus VL1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VL1(R) on JRC_FlyEM_Hemibrain
AL-VL2a(R)	AL-VL2a(R)	antennal lobe glomerulus VL2a	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VL2a(R) on JRC_FlyEM_Hemibrain
AL-VL2p(R)	AL-VL2p(R)	antennal lobe glomerulus VL2p	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VL2p(R) on JRC_FlyEM_Hemibrain
AL-VM1(R)	AL-VM1(R)	antennal lobe glomerulus VM1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM1(R) on JRC_FlyEM_Hemibrain
AL-VM2(R)	AL-VM2(R)	antennal lobe glomerulus VM2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM2(R) on JRC_FlyEM_Hemibrain
AL-VM3(R)	AL-VM3(R)	antennal lobe glomerulus VM3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM3(R) on JRC_FlyEM_Hemibrain
AL-VM4(R)	AL-VM4(R)	antennal lobe glomerulus VM4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM4(R) on JRC_FlyEM_Hemibrain
AL-VM5d(R)	AL-VM5d(R)	antennal lobe glomerulus VM5d	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM5d(R) on JRC_FlyEM_Hemibrain
AL-VM5v(R)	AL-VM5v(R)	antennal lobe glomerulus VM5v	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM5v(R) on JRC_FlyEM_Hemibrain
AL-VM7d(L)	AL-VM7d(L)	antennal lobe glomerulus VM7d	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM7d(L) on JRC_FlyEM_Hemibrain
AL-VM7d(R)	AL-VM7d(R)	antennal lobe glomerulus VM7d	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM7d(R) on JRC_FlyEM_Hemibrain
AL-VM7v(L)	AL-VM7v(L)	antennal lobe glomerulus VM7v	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM7v(L) on JRC_FlyEM_Hemibrain
AL-VM7v(R)	AL-VM7v(R)	antennal lobe glomerulus VM7v	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VM7v(R) on JRC_FlyEM_Hemibrain
AL-VP1d(R)	AL-VP1d(R)	antennal lobe glomerulus VP1d	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP1d(R) on JRC_FlyEM_Hemibrain
AL-VP1l(R)	AL-VP1l(R)	antennal lobe glomerulus VP1l	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP1l(R) on JRC_FlyEM_Hemibrain
AL-VP1m(R)	AL-VP1m(R)	antennal lobe glomerulus VP1m	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP1m(R) on JRC_FlyEM_Hemibrain
AL-VP2(R)	AL-VP2(R)	antennal lobe glomerulus VP2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP2(R) on JRC_FlyEM_Hemibrain
