filename	label	AD	DBD	part_of	Template
20x-Brain-2216619376738566242	JRC_LH2051_Brain_2019_20151120_52_C1	P{VT022244-p65.AD}	P{VT044340-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2310229229272301713	JRC_LH2445_Brain_2019_20160824_31_A1	P{R41C05-p65.AD}	P{VT026019-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518423801561125	JRC_LH1940_Brain_2019_20151113_53_C1	P{R66A08-p65.AD}	P{VT000926-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518368952647717	JRC_LH770_Brain_2019_20151106_51_B1	P{R37E08-p65.AD}	P{R20G10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514063182921826	JRC_LH421_Brain_2019_20150515_41_B4	P{R38D01-p65.AD}	P{R54G12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206932568178786	JRC_LH728_Brain_2019_20150227_41_D4	P{R76E07-p65.AD}	P{R18B11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514057994567778	JRC_LH1574_Brain_2019_20150515_41_A4	P{R20G01-p65.AD}	P{R76G09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148856853790818	JRC_LH989_Brain_2019_20150306_41_B1	P{R29G05-p65.AD}	P{R37G11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514064801923170	JRC_LH412_Brain_2019_20150515_41_B6	P{R22B12-p65.AD}	P{R54G12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206930001264738	JRC_LH578_Brain_2019_20150227_41_D2	P{R70G02-p65.AD}	P{R94F11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206927421767778	JRC_LH1828_Brain_2019_20150227_41_C6	P{R64B08-p65.AD}	P{R95F09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206934711468130	JRC_LH1531_Brain_2019_20150227_41_D6	P{R85A07-p65.AD}	P{R66A08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206921692348514	JRC_LH1668_Brain_2019_20150227_41_C1	P{R65H10-p65.AD}	P{R85A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2113432795803025506	JRC_LH206_Brain_2019_20150123_41_A4	P{R70G02-p65.AD}	P{R31D07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2113432792044929122	JRC_LH173_Brain_2019_20150123_41_A2	P{R16C09-p65.AD}	P{R28A10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2113432790291710050	JRC_LH163_Brain_2019_20150123_41_A1	P{R16C09-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
