subject_id	subject_name	object	relation	pub	comment
VFB_001011b4	AL-DA4m(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b4	AL-DA4m(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b5	AL-DA4m(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b5	AL-DA4m(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b6	AL-DC1(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b6	AL-DC1(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b7	AL-DC1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b7	AL-DC1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b8	AL-DC2(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b8	AL-DC2(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011b9	AL-DC2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011b9	AL-DC2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ba	AL-DC3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ba	AL-DC3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bb	AL-DC4(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bb	AL-DC4(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bc	AL-DC4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bc	AL-DC4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bd	AL-DL1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bd	AL-DL1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011be	AL-DL2d(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011be	AL-DL2d(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bf	AL-DL2v(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bf	AL-DL2v(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bg	AL-DL3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bg	AL-DL3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bh	AL-DL4(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bh	AL-DL4(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bi	AL-DL4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bi	AL-DL4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bj	AL-DL5(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bj	AL-DL5(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bk	AL-DL5(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bk	AL-DL5(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bl	AL-DM1(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bl	AL-DM1(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bm	AL-DM1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bm	AL-DM1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bn	AL-DM2(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bn	AL-DM2(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bo	AL-DM2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bo	AL-DM2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
