subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
1671952694	M_lvPNm24	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
577542489	M_lvPNm24	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
1224591253	FB3E	fan-shaped neuron F3	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1163212068	FB3E	fan-shaped neuron F3	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1071121755	FB6W	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
549385850	FB6W	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
579420623	FB5Y	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1008378609	FB5Y	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
580426342	FB5Y	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
977338882	FB5Y	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813088939	FB6P	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
915605943	FB6P	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813079228	M_lvPNm30	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
579268807	FB1C	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813055913	FB1C	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1348057533	FB1C	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1379087619	FB1C	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813063239	VP5+Z_adPN	adult uniglomerular projection neuron VP5+SEZ adPN	doi:10.1101/2020.08.29.273276		neuprint_JRC_Hemibrain_1point1	is_a
5813021615	aMe23	DN1-like neuron	doi:10.1101/2020.08.29.273276		neuprint_JRC_Hemibrain_1point1	is_a
1672293837	M_lvPNm29	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
922069357	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1070111661	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
766937594	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
957506896	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1132530992	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813053851	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
891107336	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813071020	FB5W	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
949986251	FB2F_c	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
608076385	FB2F_c	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
762226975	FB2F_c	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
700999023	FB2F_c	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1137326978	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1255289329	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
575845494	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1255285060	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
667931999	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224595644	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813038173	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1286323786	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813058195	FB2I_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1943811511	M_lvPNm31	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
889414782	FB6N	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
860305498	FB6N	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
607933758	FB5Q	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
733203990	FB5Q	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
640665331	FB5Q	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1101806834	FB5Q	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
