filename	synonyms	is_a	part_of	label
AL-DA4m(L)	AL-DA4m(L)	antennal lobe glomerulus DA4m	adult brain	AL-DA4m(L) on JRC_FlyEM_Hemibrain
AL-DA4m(R)	AL-DA4m(R)	antennal lobe glomerulus DA4m	adult brain	AL-DA4m(R) on JRC_FlyEM_Hemibrain
AL-DC1(L)	AL-DC1(L)	antennal lobe glomerulus DC1	adult brain	AL-DC1(L) on JRC_FlyEM_Hemibrain
AL-DC1(R)	AL-DC1(R)	antennal lobe glomerulus DC1	adult brain	AL-DC1(R) on JRC_FlyEM_Hemibrain
AL-DC2(L)	AL-DC2(L)	antennal lobe glomerulus DC2	adult brain	AL-DC2(L) on JRC_FlyEM_Hemibrain
AL-DC2(R)	AL-DC2(R)	antennal lobe glomerulus DC2	adult brain	AL-DC2(R) on JRC_FlyEM_Hemibrain
AL-DC3(R)	AL-DC3(R)	antennal lobe glomerulus DC3	adult brain	AL-DC3(R) on JRC_FlyEM_Hemibrain
AL-DC4(L)	AL-DC4(L)	antennal lobe glomerulus DC4	adult brain	AL-DC4(L) on JRC_FlyEM_Hemibrain
AL-DC4(R)	AL-DC4(R)	antennal lobe glomerulus DC4	adult brain	AL-DC4(R) on JRC_FlyEM_Hemibrain
AL-DL1(R)	AL-DL1(R)	antennal lobe glomerulus DL1	adult brain	AL-DL1(R) on JRC_FlyEM_Hemibrain
AL-DL2d(R)	AL-DL2d(R)	antennal lobe glomerulus DL2d	adult brain	AL-DL2d(R) on JRC_FlyEM_Hemibrain
AL-DL2v(R)	AL-DL2v(R)	antennal lobe glomerulus DL2v	adult brain	AL-DL2v(R) on JRC_FlyEM_Hemibrain
AL-DL3(R)	AL-DL3(R)	antennal lobe glomerulus DL3	adult brain	AL-DL3(R) on JRC_FlyEM_Hemibrain
AL-DL4(L)	AL-DL4(L)	antennal lobe glomerulus DL4	adult brain	AL-DL4(L) on JRC_FlyEM_Hemibrain
AL-DL4(R)	AL-DL4(R)	antennal lobe glomerulus DL4	adult brain	AL-DL4(R) on JRC_FlyEM_Hemibrain
AL-DL5(L)	AL-DL5(L)	antennal lobe glomerulus DL5	adult brain	AL-DL5(L) on JRC_FlyEM_Hemibrain
AL-DL5(R)	AL-DL5(R)	antennal lobe glomerulus DL5	adult brain	AL-DL5(R) on JRC_FlyEM_Hemibrain
AL-DM1(L)	AL-DM1(L)	antennal lobe glomerulus DM1	adult brain	AL-DM1(L) on JRC_FlyEM_Hemibrain
AL-DM1(R)	AL-DM1(R)	antennal lobe glomerulus DM1	adult brain	AL-DM1(R) on JRC_FlyEM_Hemibrain
AL-DM2(L)	AL-DM2(L)	antennal lobe glomerulus DM2	adult brain	AL-DM2(L) on JRC_FlyEM_Hemibrain
AL-DM2(R)	AL-DM2(R)	antennal lobe glomerulus DM2	adult brain	AL-DM2(R) on JRC_FlyEM_Hemibrain
AL-DM3(L)	AL-DM3(L)	antennal lobe glomerulus DM3	adult brain	AL-DM3(L) on JRC_FlyEM_Hemibrain
AL-DM3(R)	AL-DM3(R)	antennal lobe glomerulus DM3	adult brain	AL-DM3(R) on JRC_FlyEM_Hemibrain
AL-DM4(L)	AL-DM4(L)	antennal lobe glomerulus DM4	adult brain	AL-DM4(L) on JRC_FlyEM_Hemibrain
AL-DM4(R)	AL-DM4(R)	antennal lobe glomerulus DM4	adult brain	AL-DM4(R) on JRC_FlyEM_Hemibrain
AL-DM5(L)	AL-DM5(L)	antennal lobe glomerulus DM5	adult brain	AL-DM5(L) on JRC_FlyEM_Hemibrain
AL-DM5(R)	AL-DM5(R)	antennal lobe glomerulus DM5	adult brain	AL-DM5(R) on JRC_FlyEM_Hemibrain
AL-DM6(L)	AL-DM6(L)	antennal lobe glomerulus DM6	adult brain	AL-DM6(L) on JRC_FlyEM_Hemibrain
AL-DM6(R)	AL-DM6(R)	antennal lobe glomerulus DM6	adult brain	AL-DM6(R) on JRC_FlyEM_Hemibrain
AL-DP1l(R)	AL-DP1l(R)	antennal lobe glomerulus DP1l	adult brain	AL-DP1l(R) on JRC_FlyEM_Hemibrain
AL-DP1m(L)	AL-DP1m(L)	antennal lobe glomerulus DP1m	adult brain	AL-DP1m(L) on JRC_FlyEM_Hemibrain
AL-DP1m(R)	AL-DP1m(R)	antennal lobe glomerulus DP1m	adult brain	AL-DP1m(R) on JRC_FlyEM_Hemibrain
AL-V(R)	AL-V(R)	antennal lobe glomerulus V	adult brain	AL-V(R) on JRC_FlyEM_Hemibrain
AL-VA1d(R)	AL-VA1d(R)	antennal lobe glomerulus VA1d	adult brain	AL-VA1d(R) on JRC_FlyEM_Hemibrain
AL-VA1v(R)	AL-VA1v(R)	antennal lobe glomerulus VA1v	adult brain	AL-VA1v(R) on JRC_FlyEM_Hemibrain
AL-VA2(R)	AL-VA2(R)	antennal lobe glomerulus VA2	adult brain	AL-VA2(R) on JRC_FlyEM_Hemibrain
AL-VA3(R)	AL-VA3(R)	antennal lobe glomerulus VA3	adult brain	AL-VA3(R) on JRC_FlyEM_Hemibrain
AL-VA4(R)	AL-VA4(R)	antennal lobe glomerulus VA4	adult brain	AL-VA4(R) on JRC_FlyEM_Hemibrain
AL-VA5(R)	AL-VA5(R)	antennal lobe glomerulus VA5	adult brain	AL-VA5(R) on JRC_FlyEM_Hemibrain
AL-VA6(L)	AL-VA6(L)	antennal lobe glomerulus VA6	adult brain	AL-VA6(L) on JRC_FlyEM_Hemibrain
AL-VA6(R)	AL-VA6(R)	antennal lobe glomerulus VA6	adult brain	AL-VA6(R) on JRC_FlyEM_Hemibrain
AL-VA7l(R)	AL-VA7l(R)	antennal lobe glomerulus VA7l	adult brain	AL-VA7l(R) on JRC_FlyEM_Hemibrain
AL-VA7m(R)	AL-VA7m(R)	antennal lobe glomerulus VA7m	adult brain	AL-VA7m(R) on JRC_FlyEM_Hemibrain
AL-VC1(R)	AL-VC1(R)	antennal lobe glomerulus VC1	adult brain	AL-VC1(R) on JRC_FlyEM_Hemibrain
AL-VC2(R)	AL-VC2(R)	antennal lobe glomerulus VC2	adult brain	AL-VC2(R) on JRC_FlyEM_Hemibrain
AL-VC3l(R)	AL-VC3l(R)	antennal lobe glomerulus VC3l	adult brain	AL-VC3l(R) on JRC_FlyEM_Hemibrain
AL-VC3m(R)	AL-VC3m(R)	antennal lobe glomerulus VC3m	adult brain	AL-VC3m(R) on JRC_FlyEM_Hemibrain
AL-VC4(R)	AL-VC4(R)	antennal lobe glomerulus VC4	adult brain	AL-VC4(R) on JRC_FlyEM_Hemibrain
AL-VC5(R)	AL-VC5(R)	antennal lobe glomerulus VC5	adult brain	AL-VC5(R) on JRC_FlyEM_Hemibrain
AL-VL1(R)	AL-VL1(R)	antennal lobe glomerulus VL1	adult brain	AL-VL1(R) on JRC_FlyEM_Hemibrain
AL-VL2a(R)	AL-VL2a(R)	antennal lobe glomerulus VL2a	adult brain	AL-VL2a(R) on JRC_FlyEM_Hemibrain
AL-VL2p(R)	AL-VL2p(R)	antennal lobe glomerulus VL2p	adult brain	AL-VL2p(R) on JRC_FlyEM_Hemibrain
AL-VM1(R)	AL-VM1(R)	antennal lobe glomerulus VM1	adult brain	AL-VM1(R) on JRC_FlyEM_Hemibrain
AL-VM2(R)	AL-VM2(R)	antennal lobe glomerulus VM2	adult brain	AL-VM2(R) on JRC_FlyEM_Hemibrain
AL-VM3(R)	AL-VM3(R)	antennal lobe glomerulus VM3	adult brain	AL-VM3(R) on JRC_FlyEM_Hemibrain
AL-VM4(R)	AL-VM4(R)	antennal lobe glomerulus VM4	adult brain	AL-VM4(R) on JRC_FlyEM_Hemibrain
AL-VM5d(R)	AL-VM5d(R)	antennal lobe glomerulus VM5d	adult brain	AL-VM5d(R) on JRC_FlyEM_Hemibrain
AL-VM5v(R)	AL-VM5v(R)	antennal lobe glomerulus VM5v	adult brain	AL-VM5v(R) on JRC_FlyEM_Hemibrain
AL-VM7d(L)	AL-VM7d(L)	antennal lobe glomerulus VM7d	adult brain	AL-VM7d(L) on JRC_FlyEM_Hemibrain
AL-VM7d(R)	AL-VM7d(R)	antennal lobe glomerulus VM7d	adult brain	AL-VM7d(R) on JRC_FlyEM_Hemibrain
AL-VM7v(L)	AL-VM7v(L)	antennal lobe glomerulus VM7v	adult brain	AL-VM7v(L) on JRC_FlyEM_Hemibrain
AL-VM7v(R)	AL-VM7v(R)	antennal lobe glomerulus VM7v	adult brain	AL-VM7v(R) on JRC_FlyEM_Hemibrain
AL-VP1d(R)	AL-VP1d(R)	antennal lobe glomerulus VP1d	adult brain	AL-VP1d(R) on JRC_FlyEM_Hemibrain
AL-VP1l(R)	AL-VP1l(R)	antennal lobe glomerulus VP1l	adult brain	AL-VP1l(R) on JRC_FlyEM_Hemibrain
AL-VP1m(R)	AL-VP1m(R)	antennal lobe glomerulus VP1m	adult brain	AL-VP1m(R) on JRC_FlyEM_Hemibrain
AL-VP2(R)	AL-VP2(R)	antennal lobe glomerulus VP2	adult brain	AL-VP2(R) on JRC_FlyEM_Hemibrain
AL-VP3(R)	AL-VP3(R)	antennal lobe glomerulus VP3	adult brain	AL-VP3(R) on JRC_FlyEM_Hemibrain
AL-VP4(R)	AL-VP4(R)	antennal lobe glomerulus VP4	adult brain	AL-VP4(R) on JRC_FlyEM_Hemibrain
AL-VP5(R)	AL-VP5(R)	antennal lobe glomerulus VP5	adult brain	AL-VP5(R) on JRC_FlyEM_Hemibrain
b1(R)	b1(R)	mushroom body beta lobe slice 1	adult brain	b1(R) on JRC_FlyEM_Hemibrain
b2(R)	b2(R)	mushroom body beta lobe slice 2	adult brain	b2(R) on JRC_FlyEM_Hemibrain
CX	CX	adult central complex	adult brain	CX on JRC_FlyEM_Hemibrain
dACA(R)	dACA(R)	mushroom body dorsal accessory calyx	adult brain	dACA(R) on JRC_FlyEM_Hemibrain
EBr1	EBr1	ellipsoid body inner posterior domain	adult brain	EBr1 on JRC_FlyEM_Hemibrain
EBr3pw	EBr3pw	ellipsoid body inner posterior domain	adult brain	EBr3pw on JRC_FlyEM_Hemibrain
EBr2r4	EBr2r4	ellipsoid body outer central domain	adult brain	EBr2r4 on JRC_FlyEM_Hemibrain
EBr3am	EBr3am	ellipsoid body inner central domain	adult brain	EBr3am on JRC_FlyEM_Hemibrain
EBr3d	EBr3d	ellipsoid body inner central domain	adult brain	EBr3d on JRC_FlyEM_Hemibrain
EBr5	EBr5	ellipsoid body anterior domain	adult brain	EBr5 on JRC_FlyEM_Hemibrain
EBr6	EBr6	ellipsoid body outer posterior domain	adult brain	EBr6 on JRC_FlyEM_Hemibrain
FBl1	FBl1	fan-shaped body layer 1	adult brain	FBl1 on JRC_FlyEM_Hemibrain
FBl2	FBl2	fan-shaped body layer 2	adult brain	FBl2 on JRC_FlyEM_Hemibrain
FBl3	FBl3	fan-shaped body layer 3	adult brain	FBl3 on JRC_FlyEM_Hemibrain
FBl4	FBl4	fan-shaped body layer 4	adult brain	FBl4 on JRC_FlyEM_Hemibrain
FBl5	FBl5	fan-shaped body layer 5	adult brain	FBl5 on JRC_FlyEM_Hemibrain
FBl6	FBl6	fan-shaped body layer 6	adult brain	FBl6 on JRC_FlyEM_Hemibrain
FBl7	FBl7	fan-shaped body layer 7	adult brain	FBl7 on JRC_FlyEM_Hemibrain
FBl8	FBl8	fan-shaped body layer 8	adult brain	FBl8 on JRC_FlyEM_Hemibrain
FBl9	FBl9	fan-shaped body layer 9	adult brain	FBl9 on JRC_FlyEM_Hemibrain
g1(R)	g1(R)	mushroom body gamma lobe slice 1	adult brain	g1(R) on JRC_FlyEM_Hemibrain
g2(R)	g2(R)	mushroom body gamma lobe slice 2	adult brain	g2(R) on JRC_FlyEM_Hemibrain
g3(R)	g3(R)	mushroom body gamma lobe slice 3	adult brain	g3(R) on JRC_FlyEM_Hemibrain
g4(R)	g4(R)	mushroom body gamma lobe slice 4	adult brain	g4(R) on JRC_FlyEM_Hemibrain
g5(R)	g5(R)	mushroom body gamma lobe slice 5	adult brain	g5(R) on JRC_FlyEM_Hemibrain
INP	INP	inferior neuropils	adult brain	INP on JRC_FlyEM_Hemibrain
lACA(R)	lACA(R)	mushroom body lateral accessory calyx	adult brain	lACA(R) on JRC_FlyEM_Hemibrain
LX(L)	LX(L)	lateral complex	adult brain	LX(L) on JRC_FlyEM_Hemibrain
LX(R)	LX(R)	lateral complex	adult brain	LX(R) on JRC_FlyEM_Hemibrain
MB(+ACA)(R)	MB(+ACA)(R)	adult mushroom body	adult brain	MB(+ACA)(R) on JRC_FlyEM_Hemibrain
MB(L)	MB(L)	adult mushroom body	adult brain	MB(L) on JRC_FlyEM_Hemibrain
MB(R)	MB(R)	adult mushroom body	adult brain	MB(R) on JRC_FlyEM_Hemibrain
OL(R)	OL(R)	adult optic lobe	adult brain	OL(R) on JRC_FlyEM_Hemibrain
PENP	PENP	periesophageal neuropils	adult brain	PENP on JRC_FlyEM_Hemibrain
SNP(L)	SNP(L)	superior neuropils	adult brain	SNP(L) on JRC_FlyEM_Hemibrain
SNP(R)	SNP(R)	superior neuropils	adult brain	SNP(R) on JRC_FlyEM_Hemibrain
vACA(R)	vACA(R)	mushroom body ventral accessory calyx	adult brain	vACA(R) on JRC_FlyEM_Hemibrain
VLNP(R)	VLNP(R)	ventrolateral neuropils	adult brain	VLNP(R) on JRC_FlyEM_Hemibrain
VMNP	VMNP	ventromedial neuropils	adult brain	VMNP on JRC_FlyEM_Hemibrain
