subject_id	object	pub	relation	comment	subject_name
VFB_jrcv08kx	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	AN12A003_A1_L (MANC:11121)
VFB_jrcv08kz	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11123)
VFB_jrcv08ll	adult median tract of dorsal cervical fasciculus III	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11145)
VFB_jrcv08lq	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11150)
VFB_jrcv08m2	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	AN23B001_T2_R (MANC:11162)
VFB_jrcv08m4	adult median tract of dorsal cervical fasciculus III	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11164)
VFB_jrcv08nh	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	AN23B001_T2_L (MANC:11213)
VFB_jrcv08nk	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11216)
VFB_jrcv08nw	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11228)
VFB_jrcv08ny	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	SAppxx_DMetaN_L (MANC:11230)
VFB_jrcv08om	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11254)
VFB_jrcv08p8	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11276)
VFB_jrcv08pi	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11286)
VFB_jrcv08q7	adult median tract of dorsal cervical fasciculus III	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11311)
VFB_jrcv08qn	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11327)
VFB_jrcv08r9	adult dorsal median tract	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11349)
VFB_jrcv08ts	adult median tract of dorsal cervical fasciculus I	doi:10.1101/2023.06.05.543757	fasciculates_with	manc:v1.2.1 260818	TBD (MANC:11440)
