filename	synonyms	is_a	part_of	label	Template
AL-VA4(L)	AL-VA4(L)	antennal lobe glomerulus VA4	male organism|adult brain|left side of organism	AL-VA4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA4(R)	AL-VA4(R)	antennal lobe glomerulus VA4	male organism|adult brain|right side of organism	AL-VA4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA5(L)	AL-VA5(L)	antennal lobe glomerulus VA5	male organism|adult brain|left side of organism	AL-VA5(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA5(R)	AL-VA5(R)	antennal lobe glomerulus VA5	male organism|adult brain|right side of organism	AL-VA5(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA6(L)	AL-VA6(L)	antennal lobe glomerulus VA6	male organism|adult brain|left side of organism	AL-VA6(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA6(R)	AL-VA6(R)	antennal lobe glomerulus VA6	male organism|adult brain|right side of organism	AL-VA6(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA7l(L)	AL-VA7l(L)	antennal lobe glomerulus VA7l	male organism|adult brain|left side of organism	AL-VA7l(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA7l(R)	AL-VA7l(R)	antennal lobe glomerulus VA7l	male organism|adult brain|right side of organism	AL-VA7l(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA7m(L)	AL-VA7m(L)	antennal lobe glomerulus VA7m	male organism|adult brain|left side of organism	AL-VA7m(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA7m(R)	AL-VA7m(R)	antennal lobe glomerulus VA7m	male organism|adult brain|right side of organism	AL-VA7m(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VC1(L)	AL-VC1(L)	antennal lobe glomerulus VC1	male organism|adult brain|left side of organism	AL-VC1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VC1(R)	AL-VC1(R)	antennal lobe glomerulus VC1	male organism|adult brain|right side of organism	AL-VC1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VC2(L)	AL-VC2(L)	antennal lobe glomerulus VC2	male organism|adult brain|left side of organism	AL-VC2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VC2(R)	AL-VC2(R)	antennal lobe glomerulus VC2	male organism|adult brain|right side of organism	AL-VC2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VC3(L)	AL-VC3(L)	antennal lobe glomerulus VC3	male organism|adult brain|left side of organism	AL-VC3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VC3(R)	AL-VC3(R)	antennal lobe glomerulus VC3	male organism|adult brain|right side of organism	AL-VC3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VC4(L)	AL-VC4(L)	antennal lobe glomerulus VC4	male organism|adult brain|left side of organism	AL-VC4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VC4(R)	AL-VC4(R)	antennal lobe glomerulus VC4	male organism|adult brain|right side of organism	AL-VC4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VC5(L)	AL-VC5(L)	antennal lobe glomerulus VC5	male organism|adult brain|left side of organism	AL-VC5(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VC5(R)	AL-VC5(R)	antennal lobe glomerulus VC5	male organism|adult brain|right side of organism	AL-VC5(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VL1(L)	AL-VL1(L)	antennal lobe glomerulus VL1	male organism|adult brain|left side of organism	AL-VL1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VL1(R)	AL-VL1(R)	antennal lobe glomerulus VL1	male organism|adult brain|right side of organism	AL-VL1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VL2a(L)	AL-VL2a(L)	antennal lobe glomerulus VL2a	male organism|adult brain|left side of organism	AL-VL2a(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VL2a(R)	AL-VL2a(R)	antennal lobe glomerulus VL2a	male organism|adult brain|right side of organism	AL-VL2a(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VL2p(L)	AL-VL2p(L)	antennal lobe glomerulus VL2p	male organism|adult brain|left side of organism	AL-VL2p(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VL2p(R)	AL-VL2p(R)	antennal lobe glomerulus VL2p	male organism|adult brain|right side of organism	AL-VL2p(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM1(L)	AL-VM1(L)	antennal lobe glomerulus VM1	male organism|adult brain|left side of organism	AL-VM1(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM1(R)	AL-VM1(R)	antennal lobe glomerulus VM1	male organism|adult brain|right side of organism	AL-VM1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM2(L)	AL-VM2(L)	antennal lobe glomerulus VM2	male organism|adult brain|left side of organism	AL-VM2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM2(R)	AL-VM2(R)	antennal lobe glomerulus VM2	male organism|adult brain|right side of organism	AL-VM2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM3(L)	AL-VM3(L)	antennal lobe glomerulus VM3	male organism|adult brain|left side of organism	AL-VM3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM3(R)	AL-VM3(R)	antennal lobe glomerulus VM3	male organism|adult brain|right side of organism	AL-VM3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM4(L)	AL-VM4(L)	antennal lobe glomerulus VM4	male organism|adult brain|left side of organism	AL-VM4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM4(R)	AL-VM4(R)	antennal lobe glomerulus VM4	male organism|adult brain|right side of organism	AL-VM4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM5d(L)	AL-VM5d(L)	antennal lobe glomerulus VM5d	male organism|adult brain|left side of organism	AL-VM5d(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM5d(R)	AL-VM5d(R)	antennal lobe glomerulus VM5d	male organism|adult brain|right side of organism	AL-VM5d(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM5v(L)	AL-VM5v(L)	antennal lobe glomerulus VM5v	male organism|adult brain|left side of organism	AL-VM5v(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM5v(R)	AL-VM5v(R)	antennal lobe glomerulus VM5v	male organism|adult brain|right side of organism	AL-VM5v(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM6(L)	AL-VM6(L)	antennal lobe glomerulus VM6	male organism|adult brain|left side of organism	AL-VM6(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM6(R)	AL-VM6(R)	antennal lobe glomerulus VM6	male organism|adult brain|right side of organism	AL-VM6(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM7d(L)	AL-VM7d(L)	antennal lobe glomerulus VM7d	male organism|adult brain|left side of organism	AL-VM7d(L) on JRC2018Unisex	JRC2018Unisex_c
