filename	synonyms	is_a	part_of	label	Template
b'1(R)	b'1(R)	mushroom body beta' lobe slice 1	male organism|adult brain|right side of organism	b'1(R) on JRC2018Unisex	JRC2018Unisex_c
b'2(L)	b'2(L)	mushroom body beta' lobe slice 2	male organism|adult brain|left side of organism	b'2(L) on JRC2018Unisex	JRC2018Unisex_c
b'2(R)	b'2(R)	mushroom body beta' lobe slice 2	male organism|adult brain|right side of organism	b'2(R) on JRC2018Unisex	JRC2018Unisex_c
b'L(L)	b'L(L)	adult mushroom body beta'-lobe	male organism|adult brain|left side of organism	b'L(L) on JRC2018Unisex	JRC2018Unisex_c
b'L(R)	b'L(R)	adult mushroom body beta'-lobe	male organism|adult brain|right side of organism	b'L(R) on JRC2018Unisex	JRC2018Unisex_c
b1(L)	b1(L)	mushroom body beta lobe slice 1	male organism|adult brain|left side of organism	b1(L) on JRC2018Unisex	JRC2018Unisex_c
b1(R)	b1(R)	mushroom body beta lobe slice 1	male organism|adult brain|right side of organism	b1(R) on JRC2018Unisex	JRC2018Unisex_c
b2(L)	b2(L)	mushroom body beta lobe slice 2	male organism|adult brain|left side of organism	b2(L) on JRC2018Unisex	JRC2018Unisex_c
b2(R)	b2(R)	mushroom body beta lobe slice 2	male organism|adult brain|right side of organism	b2(R) on JRC2018Unisex	JRC2018Unisex_c
bL(L)	bL(L)	adult mushroom body beta-lobe	male organism|adult brain|left side of organism	bL(L) on JRC2018Unisex	JRC2018Unisex_c
bL(R)	bL(R)	adult mushroom body beta-lobe	male organism|adult brain|right side of organism	bL(R) on JRC2018Unisex	JRC2018Unisex_c
g1(L)	g1(L)	mushroom body gamma lobe slice 1	male organism|adult brain|left side of organism	g1(L) on JRC2018Unisex	JRC2018Unisex_c
g1(R)	g1(R)	mushroom body gamma lobe slice 1	male organism|adult brain|right side of organism	g1(R) on JRC2018Unisex	JRC2018Unisex_c
g2(L)	g2(L)	mushroom body gamma lobe slice 2	male organism|adult brain|left side of organism	g2(L) on JRC2018Unisex	JRC2018Unisex_c
g2(R)	g2(R)	mushroom body gamma lobe slice 2	male organism|adult brain|right side of organism	g2(R) on JRC2018Unisex	JRC2018Unisex_c
g3(L)	g3(L)	mushroom body gamma lobe slice 3	male organism|adult brain|left side of organism	g3(L) on JRC2018Unisex	JRC2018Unisex_c
g3(R)	g3(R)	mushroom body gamma lobe slice 3	male organism|adult brain|right side of organism	g3(R) on JRC2018Unisex	JRC2018Unisex_c
g4(L)	g4(L)	mushroom body gamma lobe slice 4	male organism|adult brain|left side of organism	g4(L) on JRC2018Unisex	JRC2018Unisex_c
g4(R)	g4(R)	mushroom body gamma lobe slice 4	male organism|adult brain|right side of organism	g4(R) on JRC2018Unisex	JRC2018Unisex_c
g5(L)	g5(L)	mushroom body gamma lobe slice 5	male organism|adult brain|left side of organism	g5(L) on JRC2018Unisex	JRC2018Unisex_c
g5(R)	g5(R)	mushroom body gamma lobe slice 5	male organism|adult brain|right side of organism	g5(R) on JRC2018Unisex	JRC2018Unisex_c
gL(L)	gL(L)	adult mushroom body gamma-lobe	male organism|adult brain|left side of organism	gL(L) on JRC2018Unisex	JRC2018Unisex_c
gL(R)	gL(R)	adult mushroom body gamma-lobe	male organism|adult brain|right side of organism	gL(R) on JRC2018Unisex	JRC2018Unisex_c
mVAC(T1)(L)	mVAC(T1)(L)	medial ventral association center	male organism|adult ventral nerve cord|left side of organism	mVAC(T1)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
mVAC(T1)(R)	mVAC(T1)(R)	medial ventral association center	male organism|adult ventral nerve cord|right side of organism	mVAC(T1)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
mVAC(T2)(L)	mVAC(T2)(L)	medial ventral association center	male organism|adult ventral nerve cord|left side of organism	mVAC(T2)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
mVAC(T2)(R)	mVAC(T2)(R)	medial ventral association center	male organism|adult ventral nerve cord|right side of organism	mVAC(T2)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
mVAC(T3)(L)	mVAC(T3)(L)	medial ventral association center	male organism|adult ventral nerve cord|left side of organism	mVAC(T3)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
mVAC(T3)(R)	mVAC(T3)(R)	medial ventral association center	male organism|adult ventral nerve cord|right side of organism	mVAC(T3)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
