filename	is_a	part_of	label	comment	dbxrefs
154827	adult neuron	male organism	C2_R (JRC_OpticLobe:154827)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:154827
95784	adult neuron	male organism	C2_R (JRC_OpticLobe:95784)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95784
110105	adult neuron	male organism	C2_R (JRC_OpticLobe:110105)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:110105
85589	adult neuron	male organism	C2_R (JRC_OpticLobe:85589)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:85589
87653	adult neuron	male organism	C2_R (JRC_OpticLobe:87653)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:87653
82314	adult neuron	male organism	C2_R (JRC_OpticLobe:82314)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82314
161060	adult neuron	male organism	C2_R (JRC_OpticLobe:161060)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:161060
108423	adult neuron	male organism	C2_R (JRC_OpticLobe:108423)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:108423
91171	adult neuron	male organism	C2_R (JRC_OpticLobe:91171)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:91171
118816	adult neuron	male organism	C2_R (JRC_OpticLobe:118816)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:118816
108584	adult neuron	male organism	C2_R (JRC_OpticLobe:108584)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:108584
79917	adult neuron	male organism	C2_R (JRC_OpticLobe:79917)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:79917
99419	adult neuron	male organism	C2_R (JRC_OpticLobe:99419)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:99419
118347	adult neuron	male organism	C2_R (JRC_OpticLobe:118347)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:118347
78578	adult neuron	male organism	C2_R (JRC_OpticLobe:78578)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78578
103684	adult neuron	male organism	C2_R (JRC_OpticLobe:103684)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103684
137090	adult neuron	male organism	C2_R (JRC_OpticLobe:137090)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:137090
77460	adult neuron	male organism	C2_R (JRC_OpticLobe:77460)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:77460
118501	adult neuron	male organism	C2_R (JRC_OpticLobe:118501)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:118501
354532	adult neuron	male organism	C2_R (JRC_OpticLobe:354532)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:354532
86459	adult neuron	male organism	C2_R (JRC_OpticLobe:86459)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:86459
82800	adult neuron	male organism	C2_R (JRC_OpticLobe:82800)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82800
150946	adult neuron	male organism	C2_R (JRC_OpticLobe:150946)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:150946
90658	adult neuron	male organism	C2_R (JRC_OpticLobe:90658)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:90658
133117	adult neuron	male organism	C2_R (JRC_OpticLobe:133117)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:133117
81571	adult neuron	male organism	C2_R (JRC_OpticLobe:81571)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81571
78934	adult neuron	male organism	C2_R (JRC_OpticLobe:78934)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78934
144805	adult neuron	male organism	C2_R (JRC_OpticLobe:144805)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:144805
101201	adult neuron	male organism	C2_R (JRC_OpticLobe:101201)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101201
83844	adult neuron	male organism	C2_R (JRC_OpticLobe:83844)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:83844
115820	adult neuron	male organism	C2_R (JRC_OpticLobe:115820)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:115820
110620	adult neuron	male organism	C2_R (JRC_OpticLobe:110620)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:110620
98787	adult neuron	male organism	C2_R (JRC_OpticLobe:98787)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98787
157530	adult neuron	male organism	C2_R (JRC_OpticLobe:157530)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:157530
81116	adult neuron	male organism	C2_R (JRC_OpticLobe:81116)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81116
101560	adult neuron	male organism	C2_R (JRC_OpticLobe:101560)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101560
130634	adult neuron	male organism	C2_R (JRC_OpticLobe:130634)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:130634
107029	adult neuron	male organism	C2_R (JRC_OpticLobe:107029)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:107029
109273	adult neuron	male organism	C2_R (JRC_OpticLobe:109273)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:109273
133111	adult neuron	male organism	C2_R (JRC_OpticLobe:133111)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:133111
86879	adult neuron	male organism	C2_R (JRC_OpticLobe:86879)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:86879
150531	adult neuron	male organism	C2_R (JRC_OpticLobe:150531)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:150531
139805	adult neuron	male organism	C2_R (JRC_OpticLobe:139805)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:139805
81391	adult neuron	male organism	C2_R (JRC_OpticLobe:81391)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81391
97367	adult neuron	male organism	C2_R (JRC_OpticLobe:97367)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:97367
106216	adult neuron	male organism	C2_R (JRC_OpticLobe:106216)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:106216
78520	adult neuron	male organism	C2_R (JRC_OpticLobe:78520)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:78520
146910	adult neuron	male organism	C2_R (JRC_OpticLobe:146910)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:146910
169236	adult neuron	male organism	C2_R (JRC_OpticLobe:169236)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:169236
106103	adult neuron	male organism	C2_R (JRC_OpticLobe:106103)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:106103
101199	adult neuron	male organism	C2_R (JRC_OpticLobe:101199)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101199
211815	adult neuron	male organism	C2_R (JRC_OpticLobe:211815)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:211815
93351	adult neuron	male organism	C2_R (JRC_OpticLobe:93351)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:93351
105186	adult neuron	male organism	C2_R (JRC_OpticLobe:105186)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:105186
100383	adult neuron	male organism	C2_R (JRC_OpticLobe:100383)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100383
95833	adult neuron	male organism	C2_R (JRC_OpticLobe:95833)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95833
112805	adult neuron	male organism	C2_R (JRC_OpticLobe:112805)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:112805
