filename	label	part_of	Template	synonyms	dbxrefs	AD	DBD	comment
SS54410_50C12_70B03_B	JRC_SS54410_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54410|JRC_SS54410	FlyLightLarvalCNS:SS54410	P{R50C12-p65.AD}	P{R70B03-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55050_78H12_108G05_A	JRC_SS55050_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55050|JRC_SS55050	FlyLightLarvalCNS:SS55050	P{R78H12-p65.AD}	P{VT048417-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55050_78H12_108G05_B	JRC_SS55050_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55050|JRC_SS55050	FlyLightLarvalCNS:SS55050	P{R78H12-p65.AD}	P{VT048417-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55093_124C12_93G09_A	JRC_SS55093_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55093|JRC_SS55093	FlyLightLarvalCNS:SS55093	P{VT027323-p65.AD}	P{R93G09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55093_124C12_93G09_B	JRC_SS55093_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55093|JRC_SS55093	FlyLightLarvalCNS:SS55093	P{VT027323-p65.AD}	P{R93G09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55116_75B09_119F03_A	JRC_SS55116_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55116|JRC_SS55116	FlyLightLarvalCNS:SS55116	P{R75B09-p65.AD}	P{VT004984-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55116_75B09_119F03_B	JRC_SS55116_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55116|JRC_SS55116	FlyLightLarvalCNS:SS55116	P{R75B09-p65.AD}	P{VT004984-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55133_75B09_84G11_A	JRC_SS55133_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55133|JRC_SS55133	FlyLightLarvalCNS:SS55133	P{R75B09-p65.AD}	P{R84G11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55133_75B09_84G11_B	JRC_SS55133_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55133|JRC_SS55133	FlyLightLarvalCNS:SS55133	P{R75B09-p65.AD}	P{R84G11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55136_108F02_115E09_A	JRC_SS55136_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55136|JRC_SS55136	FlyLightLarvalCNS:SS55136	P{VT045148-p65.AD}	P{VT027767-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55136_108F02_115E09_B	JRC_SS55136_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55136|JRC_SS55136	FlyLightLarvalCNS:SS55136	P{VT045148-p65.AD}	P{VT027767-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55144_100D02_92C02_A	JRC_SS55144_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55144|JRC_SS55144	FlyLightLarvalCNS:SS55144	P{VT007847-p65.AD}	P{R92C02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55144_100D02_92C02_B	JRC_SS55144_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55144|JRC_SS55144	FlyLightLarvalCNS:SS55144	P{VT007847-p65.AD}	P{R92C02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55145_126D09_108E12_A	JRC_SS55145_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55145|JRC_SS55145	FlyLightLarvalCNS:SS55145	P{VT020823-p65.AD}	P{VT044969-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55145_126D09_108E12_B	JRC_SS55145_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55145|JRC_SS55145	FlyLightLarvalCNS:SS55145	P{VT020823-p65.AD}	P{VT044969-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55147_118G12_125D05_A	JRC_SS55147_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55147|JRC_SS55147	FlyLightLarvalCNS:SS55147	P{VT056765-p65.AD}	P{VT008133-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55147_118G12_125D05_B	JRC_SS55147_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55147|JRC_SS55147	FlyLightLarvalCNS:SS55147	P{VT056765-p65.AD}	P{VT008133-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55150_75E01_56H02_A	JRC_SS55150_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55150|JRC_SS55150	FlyLightLarvalCNS:SS55150	P{R75E01-p65.AD}	P{R56H02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55150_75E01_56H02_B	JRC_SS55150_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55150|JRC_SS55150	FlyLightLarvalCNS:SS55150	P{R75E01-p65.AD}	P{R56H02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55169_22A12_75E01_A	JRC_SS55169_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55169|JRC_SS55169	FlyLightLarvalCNS:SS55169	P{R22A12-p65.AD}	P{R75E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55169_22A12_75E01_B	JRC_SS55169_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55169|JRC_SS55169	FlyLightLarvalCNS:SS55169	P{R22A12-p65.AD}	P{R75E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55174_28F06_14H09_A	JRC_SS55174_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55174|JRC_SS55174	FlyLightLarvalCNS:SS55174	P{R28F06-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55174_28F06_14H09_B	JRC_SS55174_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55174|JRC_SS55174	FlyLightLarvalCNS:SS55174	P{R28F06-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55177_13E04_36G02_A	JRC_SS55177_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55177|JRC_SS55177	FlyLightLarvalCNS:SS55177	P{R13E04-p65.AD}	P{R36G02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55177_13E04_36G02_B	JRC_SS55177_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55177|JRC_SS55177	FlyLightLarvalCNS:SS55177	P{R13E04-p65.AD}	P{R36G02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55178_14B07_119G03_A	JRC_SS55178_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55178|JRC_SS55178	FlyLightLarvalCNS:SS55178	P{R14B07-p65.AD}	P{VT008159-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55178_14B07_119G03_B	JRC_SS55178_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55178|JRC_SS55178	FlyLightLarvalCNS:SS55178	P{R14B07-p65.AD}	P{VT008159-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55181_53C03_115E09_A	JRC_SS55181_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55181|JRC_SS55181	FlyLightLarvalCNS:SS55181	P{R53C03-p65.AD}	P{VT027767-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55181_53C03_115E09_B	JRC_SS55181_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55181|JRC_SS55181	FlyLightLarvalCNS:SS55181	P{R53C03-p65.AD}	P{VT027767-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55182_53C03_75E01_A	JRC_SS55182_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55182|JRC_SS55182	FlyLightLarvalCNS:SS55182	P{R53C03-p65.AD}	P{R75E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55182_53C03_75E01_B	JRC_SS55182_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55182|JRC_SS55182	FlyLightLarvalCNS:SS55182	P{R53C03-p65.AD}	P{R75E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55197_52F12_14H09_A	JRC_SS55197_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55197|JRC_SS55197	FlyLightLarvalCNS:SS55197	P{R52F12-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55197_52F12_14H09_B	JRC_SS55197_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55197|JRC_SS55197	FlyLightLarvalCNS:SS55197	P{R52F12-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55198_72E10_14H09_A	JRC_SS55198_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55198|JRC_SS55198	FlyLightLarvalCNS:SS55198	P{R72E10-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55198_72E10_14H09_B	JRC_SS55198_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55198|JRC_SS55198	FlyLightLarvalCNS:SS55198	P{R72E10-p65.AD}	P{R14H09-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55201_17B02_100C02_A	JRC_SS55201_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55201|JRC_SS55201	FlyLightLarvalCNS:SS55201	P{R17B02-p65.AD}	P{VT005008-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55201_17B02_100C02_B	JRC_SS55201_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55201|JRC_SS55201	FlyLightLarvalCNS:SS55201	P{R17B02-p65.AD}	P{VT005008-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55202_49A11_108E12_A	JRC_SS55202_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55202|JRC_SS55202	FlyLightLarvalCNS:SS55202	P{R49A11-p65.AD}	P{VT044969-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55202_49A11_108E12_B	JRC_SS55202_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55202|JRC_SS55202	FlyLightLarvalCNS:SS55202	P{R49A11-p65.AD}	P{VT044969-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55203_95C12_120E12_A	JRC_SS55203_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55203|JRC_SS55203	FlyLightLarvalCNS:SS55203	P{R95C12-p65.AD}	P{VT026017-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55203_95C12_120E12_B	JRC_SS55203_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55203|JRC_SS55203	FlyLightLarvalCNS:SS55203	P{R95C12-p65.AD}	P{VT026017-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55221_95H02_25A06_A	JRC_SS55221_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55221|JRC_SS55221	FlyLightLarvalCNS:SS55221	P{R95H02-p65.AD}	P{R25A06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55221_95H02_25A06_B	JRC_SS55221_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55221|JRC_SS55221	FlyLightLarvalCNS:SS55221	P{R95H02-p65.AD}	P{R25A06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55378_17A04_110B08_A	JRC_SS55378_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55378|JRC_SS55378	FlyLightLarvalCNS:SS55378	P{R17A04-p65.AD}	P{VT020610-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55378_17A04_110B08_B	JRC_SS55378_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55378|JRC_SS55378	FlyLightLarvalCNS:SS55378	P{R17A04-p65.AD}	P{VT020610-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS55382_30H09_21A03_A	JRC_SS55382_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS55382|JRC_SS55382	FlyLightLarvalCNS:SS55382	P{R30H09-p65.AD}	P{R21A03-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
