filename	synonyms	label	is_a	part_of
flylight_gen1_gal4-Alignments-GMR_10E04_AE_01-GMR_10E04_AE_01-20080319_GMR_10E04_AE_01_05-fA01v_20080322002752265-20x-VNC-2627631701102166056-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E04_AE_01
flylight_gen1_gal4-Alignments-GMR_10E05_AE_01-GMR_10E05_AE_01-20090911_GMR_10E05_AE_01_01-fA01v_20090913111620515-20x-VNC-2622866718845829160-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E05_AE_01
flylight_gen1_gal4-Alignments-GMR_10E06_AE_01-GMR_10E06_AE_01-20080319_GMR_10E06_AE_01_08-fA01v_20080322004530796-20x-VNC-2623402634433789988-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E06_AE_01
flylight_gen1_gal4-Alignments-GMR_10E07_AE_01-GMR_10E07_AE_01-20080319_GMR_10E07_AE_01_04-fA01v_20080322005425468-20x-VNC-2622535244682625064-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E07_AE_01
flylight_gen1_gal4-Alignments-GMR_10E08_AE_01-GMR_10E08_AE_01-20080430_GMR_10E08_AE_01_06-fA01v_20080502033230328-20x-VNC-2626355909697208354-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E08_AE_01
flylight_gen1_gal4-Alignments-GMR_10E09_AE_01-GMR_10E09_AE_01-20080501_GMR_10E09_AE_01_05-fA01v_20080502034515703-20x-VNC-2626122613985902629-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E09_AE_01
flylight_gen1_gal4-Alignments-GMR_10E12_AE_01-GMR_10E12_AE_01-20100928_GMR_10E12_AE_01_02-fA01v_20100929104520390-20x-VNC-2624730319739158561-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E12_AE_01
flylight_gen1_gal4-Alignments-GMR_10F01_AE_01-GMR_10F01_AE_01-20080319_GMR_10F01_AE_01_04-fA01v_20080322010443453-20x-VNC-2622614072859820071-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F01_AE_01
flylight_gen1_gal4-Alignments-GMR_10F02_AE_01-GMR_10F02_AE_01-20090225_GMR_10F02_AE_01_01-fA01v_20090226161838968-20x-VNC-2623383659725455397-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F02_AE_01
flylight_gen1_gal4-Alignments-GMR_10F03_AE_01-GMR_10F03_AE_01-20090225_GMR_10F03_AE_01_02-fA01v_20090226162328859-20x-VNC-2623563694675591202-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F03_AE_01
flylight_gen1_gal4-Alignments-GMR_10F04_AE_01-GMR_10F04_AE_01-20090225_GMR_10F04_AE_01_01-fA01v_20090226162546593-20x-VNC-2623095329918025765-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F04_AE_01
flylight_gen1_gal4-Alignments-GMR_10F05_AE_01-GMR_10F05_AE_01-20080320_GMR_10F05_AE_01_02-fA01v_20080322011244625-20x-VNC-2625200213832237096-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F05_AE_01
flylight_gen1_gal4-Alignments-GMR_10F06_AE_01-GMR_10F06_AE_01-20080320_GMR_10F06_AE_01_04-fA01v_20080322012834390-20x-VNC-2626884867182297128-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F06_AE_01
flylight_gen1_gal4-Alignments-GMR_10F07_AE_01-GMR_10F07_AE_01-20071219_GMR_10F07_AE_01_04-fA01v_20080104224701687-20x-VNC-2623472039645675560-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F07_AE_01
flylight_gen1_gal4-Alignments-GMR_10F08_AE_01-GMR_10F08_AE_01-20100417_GMR_10F08_AE_01_04-fA01v_20100419214028078-20x-VNC-2624959099569176610-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F08_AE_01
flylight_gen1_gal4-Alignments-GMR_10F09_AE_01-GMR_10F09_AE_01-20090226_GMR_10F09_AE_01_02-fA01v_20090226163444218-20x-VNC-2622790511395602471-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F09_AE_01
flylight_gen1_gal4-Alignments-GMR_10F10_AE_01-GMR_10F10_AE_01-20090528_GMR_10F10_AE_01_01-fA01v_20090529130819937-20x-VNC-2623010295366287399-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F10_AE_01
flylight_gen1_gal4-Alignments-GMR_10F12_AE_01-GMR_10F12_AE_01-20090226_GMR_10F12_AE_01_01-fA01v_20090226164038250-20x-VNC-2626785882845216807-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10F12_AE_01
flylight_gen1_gal4-Alignments-GMR_10G01_AE_01-GMR_10G01_AE_01-20080320_GMR_10G01_AE_01_02-fA01v_20080322013716937-20x-VNC-2627144344800329767-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10G01_AE_01
flylight_gen1_gal4-Alignments-GMR_10G02_AE_01-GMR_10G02_AE_01-20080403_GMR_10G02_AE_01_06-fA01v_20080404225407218-20x-VNC-2622457969987551270-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10G02_AE_01
flylight_gen1_gal4-Alignments-GMR_10G04_AE_01-GMR_10G04_AE_01-20090226_GMR_10G04_AE_01_03-fA01v_20090226164634390-20x-VNC-2625549241568722983-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10G04_AE_01
