filename	label	is_a	part_of	dbxrefs	comment
1508934482	AOTU031_R - 1508934482	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1508934482	tracing status-Roughly traced, cropped-False
1813089300	AOTU032_R - 1813089300	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1813089300	tracing status-Roughly traced, cropped-False
1603054747	AOTU032_R - 1603054747	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1603054747	tracing status-Roughly traced, cropped-False
1441331113	AOTU032_R - 1441331113	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1441331113	tracing status-Roughly traced, cropped-False
860910626	AOTU033_R - 860910626	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860910626	tracing status-Roughly traced, cropped-False
1354774257	AOTU034_R - 1354774257	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1354774257	tracing status-Roughly traced, cropped-False
642720054	AOTU035_R - 642720054	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:642720054	tracing status-Roughly traced, cropped-False
5813078621	AOTU035(AVL23)_L - 5813078621	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813078621	tracing status-Roughly traced, cropped-False
5813123804	AOTU036_R - 5813123804	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813123804	tracing status-Roughly traced, cropped-False
1571859076	AOTU037_R - 1571859076	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1571859076	tracing status-Roughly traced, cropped-False
1200942398	AOTU037_R - 1200942398	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1200942398	tracing status-Roughly traced, cropped-False
883790186	AOTU038_R - 883790186	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:883790186	tracing status-Roughly traced, cropped-False
1012341321	AOTU038_R - 1012341321	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1012341321	tracing status-Roughly traced, cropped-False
953319814	AOTU038_R - 953319814	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:953319814	tracing status-Roughly traced, cropped-False
981306774	AOTU038_R - 981306774	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:981306774	tracing status-Roughly traced, cropped-False
981306568	AOTU039_R - 981306568	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:981306568	tracing status-Roughly traced, cropped-False
