filename	Label	is_a	part_of	develops_from
AOTUv3A_T03(PS)_0_2018U	AOTUv3A_T03(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_T04(ICL)_0_2018U	AOTUv3A_T04(ICL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M01(LAL)_0_2018U	AOTUv3B_M01(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M02(IB)_0_2018U	AOTUv3B_M02(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M03(IB)_0_2018U	AOTUv3B_M03(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M04(IB)_0_2018U	AOTUv3B_M04(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M05(IB)_0_2018U	AOTUv3B_M05(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M06(IB)_0_2018U	AOTUv3B_M06(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_M07(IB)_0_2018U	AOTUv3B_M07(IB)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P01(LAL)_0_2018U	AOTUv3B_P01(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P02(LAL)_0_2018U	AOTUv3B_P02(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P03(LAL)_0_2018U	AOTUv3B_P03(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P04(LAL)_0_2018U	AOTUv3B_P04(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P05(LAL)_0_2018U	AOTUv3B_P05(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P06(LAL)_0_2018U	AOTUv3B_P06(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P07(CRE)_0_2018U	AOTUv3B_P07(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3B_P08(BU)_0_2018U	AOTUv3B_P08(BU)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv4A_M01(FB)_0_2018U	AOTUv4A_M01(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M02(FB)_0_2018U	AOTUv4A_M02(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M03(FB)_0_2018U	AOTUv4A_M03(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M04(FB)_0_2018U	AOTUv4A_M04(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M05(FB)_0_2018U	AOTUv4A_M05(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M06(FB)_0_2018U	AOTUv4A_M06(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M07(FB)_0_2018U	AOTUv4A_M07(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M08(FB)_0_2018U	AOTUv4A_M08(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M09(FB)_0_2018U	AOTUv4A_M09(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M10(FB)_0_2018U	AOTUv4A_M10(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M11(FB)_0_2018U	AOTUv4A_M11(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M12(FB)_0_2018U	AOTUv4A_M12(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M13(FB)_0_2018U	AOTUv4A_M13(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M14(FB)_0_2018U	AOTUv4A_M14(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M15(FB)_0_2018U	AOTUv4A_M15(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M16(FB)_0_2018U	AOTUv4A_M16(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M17(FB)_0_2018U	AOTUv4A_M17(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_M18(FB)_0_2018U	AOTUv4A_M18(FB)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_P01(SP)_0_2018U	AOTUv4A_P01(SP)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4A_P02(SP)_0_2018U	AOTUv4A_P02(SP)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H01(LAL)_0_2018U	AOTUv4B_H01(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H02(LAL)_0_2018U	AOTUv4B_H02(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H03(LAL)_0_2018U	AOTUv4B_H03(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv4
