bodyID	subject_name	object	subject_external_db	relation
1410472719	PFNp_c(PB01c)_L6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441503748	PFNp_c(PB01c)_L6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
693651381	PFNp_c(PB01c)_L7_C6	PB slice 7-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
818119357	PFNp_c(PB01c)_L7_C6	PB slice 7-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1094722478	PFNp_c(PB01c)_L8_C7	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1159530101	PFNp_c(PB01c)_L8_C7	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1599410380	PFNp_c(PB01c)_L8_C7	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1125411720	PFNp_c(PB01c)_L9_C9	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1219889738	PFNp_c(PB01c)_L9_C9	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1599747200	PFNp_c(PB01c)_L9_C9	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1661458883	PFNp_c(PB01c)_L9_C9	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
724276536	PFNp_c(PB01c)_R2_C9	PB slice 2-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
911500529	PFNp_c(PB01c)_R2_C9	PB slice 2-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1599431888	PFNp_c(PB01c)_R3_C8	PB slice 3-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1599436552	PFNp_c(PB01c)_R3_C8	PB slice 3-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441144493	PFNp_c(PB01c)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441485633	PFNp_c(PB01c)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441485832	PFNp_c(PB01c)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441485942	PFNp_c(PB01c)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1629085008	PFNp_c(PB01c)_R5_C6	PB slice 5-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
786000969	PFNp_c(PB01c)_R5_C6	PB slice 5-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1410122586	PFNp_c(PB01c)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1410122892	PFNp_c(PB01c)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1410451120	PFNp_c(PB01c)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
724228740	PFNp_c(PB01c)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1473207713	PFNp_c(PB01c)_R7_C4	PB slice 7-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
