subject_external_id	subject_name	relation	object
2659386	DMS 1 right	is_a	larval DMS cell of pars intercerebralis
4523803	DMS 2 left	is_a	larval DMS cell of pars intercerebralis
13793212	DMS 2 right	is_a	larval DMS cell of pars intercerebralis
9789130	hugin-PC left 1	is_a	larval Hugin neuron of the protocerebrum
9796597	hugin-PC left 2	is_a	larval Hugin neuron of the protocerebrum
9805520	hugin-PC left 3	is_a	larval Hugin neuron of the protocerebrum
9813902	hugin-PC left 4	is_a	larval Hugin neuron of the protocerebrum
3315001	hugin-PC right 1	is_a	larval Hugin neuron of the protocerebrum
3299767	hugin-PC right 2	is_a	larval Hugin neuron of the protocerebrum
9748579	hugin-PC right 3	is_a	larval Hugin neuron of the protocerebrum
13581830	hugin-PC right 4	is_a	larval Hugin neuron of the protocerebrum
2679278	hugin-PH left 1	is_a	larval Hugin neuron of the pharynx
2606279	hugin-PH left 2	is_a	larval Hugin neuron of the pharynx
2811369	hugin-PH right 1	is_a	larval Hugin neuron of the pharynx
2810998	hugin-PH right 2	is_a	larval Hugin neuron of the pharynx
2138427	hugin-RG left 1	is_a	larval Hugin neuron of the corpus cardiacum
5615961	hugin-RG left 2	is_a	larval Hugin neuron of the corpus cardiacum
5038703	hugin-RG right 1	is_a	larval Hugin neuron of the corpus cardiacum
5601924	hugin-RG right 2	is_a	larval Hugin neuron of the corpus cardiacum
2613540	hugin-VNC left 1	is_a	larval Hugin neuron of the ventral nerve cord
2613532	hugin-VNC left 2	is_a	larval Hugin neuron of the ventral nerve cord
6795358	hugin-VNC right 1	is_a	larval Hugin neuron of the ventral nerve cord
3594705	hugin-VNC right 2	is_a	larval Hugin neuron of the ventral nerve cord
10329208	IPC 1 left	is_a	larval insulin secreting cell of pars intercerebralis
13535380	IPC 1 right	is_a	larval insulin secreting cell of pars intercerebralis
10459723	IPC 2 left	is_a	larval insulin secreting cell of pars intercerebralis
2852273	IPC 2 right	is_a	larval insulin secreting cell of pars intercerebralis
12634154	IPC 3 left	is_a	larval insulin secreting cell of pars intercerebralis
2283495	IPC 3 right	is_a	larval insulin secreting cell of pars intercerebralis
4453485	IPC 4 left	is_a	larval insulin secreting cell of pars intercerebralis
15202263	IPC 4 right	is_a	larval insulin secreting cell of pars intercerebralis
3281684	IPC 5 left	is_a	larval insulin secreting cell of pars intercerebralis
3561724	IPC 5 right	is_a	larval insulin secreting cell of pars intercerebralis
4506509	IPC 6 left	is_a	larval insulin secreting cell of pars intercerebralis
2357110	IPC 6 right	is_a	larval insulin secreting cell of pars intercerebralis
3046503	IPC 7 left	is_a	larval insulin secreting cell of pars intercerebralis
2355126	IPC 7 right	is_a	larval insulin secreting cell of pars intercerebralis
2815283	Pan Hugin Input 1 - paired with 6	is_a	larval prothoracic accessory nerve sensory neuron
3266033	PaN Hugin Input 2	is_a	larval prothoracic accessory nerve sensory neuron
4641120	PaN Hugin Input 6 - paired with 1 - gap crossings unfinished	is_a	larval prothoracic accessory nerve sensory neuron
4595609	pCC a1l	is_a	pCC neuron
19120853	pCC a1r	is_a	pCC neuron
8005609	v'td_a2l (Abdominal Sensory)	is_a	abdominal 2 ventral multidendritic neuron vtd1
10852875	v'td_a2r (Abdominal Sensory)	is_a	abdominal 2 ventral multidendritic neuron vtd1
4363883	v'td_a3l (Abdominal Sensory)	is_a	abdominal 3 ventral multidendritic neuron vtd1
5382876	v'td_a3r (Abdominal Sensory)	is_a	abdominal 3 ventral multidendritic neuron vtd1
9835169	v'td_a4l (Abdominal Sensory)	is_a	abdominal 4 ventral multidendritic neuron vtd1
9503203	v'td_a4r (Abdominal Sensory)	is_a	abdominal 4 ventral multidendritic neuron vtd1
3795424	v'td_a5l (Abdominal Sensory)	is_a	abdominal 5 ventral multidendritic neuron vtd1
11291344	v'td_a5r (Abdominal Sensory)	is_a	abdominal 5 ventral multidendritic neuron vtd1
7340629	v'td_a6l (Abdominal Sensory)	is_a	abdominal 6 ventral multidendritic neuron vtd1
7331555	v'td_a6r (Abdominal Sensory)	is_a	abdominal 6 ventral multidendritic neuron vtd1
11874130	v'td-2_a1l	is_a	abdominal 1 ventral multidendritic neuron vtd2
10868477	v'td-2_a1r	is_a	abdominal 1 ventral multidendritic neuron vtd2
5617164	v'td-2_a2l	is_a	abdominal 2 ventral multidendritic neuron vtd2
3915835	v'td-2_a3l	is_a	abdominal 3 ventral multidendritic neuron vtd2
