object	relation	subject_id	subject_name
adult peripheral nervous system	overlaps	VFB_001027ls	neuron 2216 (FANC:493453)
adult ventral nerve cord	overlaps	VFB_001027ls	neuron 2216 (FANC:493453)
right side of organism	has_soma_location	VFB_001027ls	neuron 2216 (FANC:493453)
adult peripheral nervous system	overlaps	VFB_001027lu	neuron 2220 (FANC:493495)
adult ventral nerve cord	overlaps	VFB_001027lu	neuron 2220 (FANC:493495)
right side of organism	has_soma_location	VFB_001027lu	neuron 2220 (FANC:493495)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027ke	neuron 2232 (FANC:492501)
adult peripheral nervous system	overlaps	VFB_001027ke	neuron 2232 (FANC:492501)
adult ventral nerve cord	overlaps	VFB_001027ke	neuron 2232 (FANC:492501)
right side of organism	has_soma_location	VFB_001027ke	neuron 2232 (FANC:492501)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027m2	neuron 2236 (FANC:493645)
adult peripheral nervous system	overlaps	VFB_001027m2	neuron 2236 (FANC:493645)
adult ventral nerve cord	overlaps	VFB_001027m2	neuron 2236 (FANC:493645)
right side of organism	has_soma_location	VFB_001027m2	neuron 2236 (FANC:493645)
adult peripheral nervous system	overlaps	VFB_001027po	neuron 2714 (FANC:496195)
adult ventral nerve cord	overlaps	VFB_001027po	neuron 2714 (FANC:496195)
left side of organism	has_soma_location	VFB_001027po	neuron 2714 (FANC:496195)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027kg	neuron 3006 (FANC:492534)
adult peripheral nervous system	overlaps	VFB_001027kg	neuron 3006 (FANC:492534)
adult ventral nerve cord	overlaps	VFB_001027kg	neuron 3006 (FANC:492534)
right side of organism	has_soma_location	VFB_001027kg	neuron 3006 (FANC:492534)
adult peripheral nervous system	overlaps	VFB_001027s0	neuron 3040 (FANC:498169)
adult ventral nerve cord	overlaps	VFB_001027s0	neuron 3040 (FANC:498169)
right side of organism	has_soma_location	VFB_001027s0	neuron 3040 (FANC:498169)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027kh	neuron 3788 (FANC:492549)
adult peripheral nervous system	overlaps	VFB_001027kh	neuron 3788 (FANC:492549)
adult ventral nerve cord	overlaps	VFB_001027kh	neuron 3788 (FANC:492549)
right side of organism	has_soma_location	VFB_001027kh	neuron 3788 (FANC:492549)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027kj	neuron 3793 (FANC:492582)
adult peripheral nervous system	overlaps	VFB_001027kj	neuron 3793 (FANC:492582)
adult ventral nerve cord	overlaps	VFB_001027kj	neuron 3793 (FANC:492582)
right side of organism	has_soma_location	VFB_001027kj	neuron 3793 (FANC:492582)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027kn	neuron 3803 (FANC:492657)
adult peripheral nervous system	overlaps	VFB_001027kn	neuron 3803 (FANC:492657)
adult ventral nerve cord	overlaps	VFB_001027kn	neuron 3803 (FANC:492657)
right side of organism	has_soma_location	VFB_001027kn	neuron 3803 (FANC:492657)
adult peripheral nervous system	overlaps	VFB_001027wm	neuron 3808 (FANC:501183)
adult ventral nerve cord	overlaps	VFB_001027wm	neuron 3808 (FANC:501183)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027wm	neuron 3808 (FANC:501183)
right side of organism	has_soma_location	VFB_001027wm	neuron 3808 (FANC:501183)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001027kr	neuron 3818 (FANC:492721)
adult peripheral nervous system	overlaps	VFB_001027kr	neuron 3818 (FANC:492721)
adult ventral nerve cord	overlaps	VFB_001027kr	neuron 3818 (FANC:492721)
right side of organism	has_soma_location	VFB_001027kr	neuron 3818 (FANC:492721)
adult peripheral nervous system	overlaps	VFB_001027wr	neuron 3823 (FANC:501288)
adult ventral nerve cord	overlaps	VFB_001027wr	neuron 3823 (FANC:501288)
right side of organism	has_soma_location	VFB_001027wr	neuron 3823 (FANC:501288)
adult peripheral nervous system	overlaps	VFB_001027wu	neuron 3833 (FANC:501354)
adult ventral nerve cord	overlaps	VFB_001027wu	neuron 3833 (FANC:501354)
right side of organism	has_soma_location	VFB_001027wu	neuron 3833 (FANC:501354)
adult peripheral nervous system	overlaps	VFB_001027ww	neuron 3838 (FANC:501398)
adult ventral nerve cord	overlaps	VFB_001027ww	neuron 3838 (FANC:501398)
right side of organism	has_soma_location	VFB_001027ww	neuron 3838 (FANC:501398)
adult peripheral nervous system	overlaps	VFB_001028gu	neuron 6106 (FANC:518067)
adult ventral nerve cord	overlaps	VFB_001028gu	neuron 6106 (FANC:518067)
right side of organism	has_soma_location	VFB_001028gu	neuron 6106 (FANC:518067)
adult peripheral nervous system	overlaps	VFB_001028gx	neuron 6122 (FANC:518104)
adult ventral nerve cord	overlaps	VFB_001028gx	neuron 6122 (FANC:518104)
left side of organism	has_soma_location	VFB_001028gx	neuron 6122 (FANC:518104)
adult peripheral nervous system	overlaps	VFB_001027ob	neuron 6654 (FANC:495316)
adult ventral nerve cord	overlaps	VFB_001027ob	neuron 6654 (FANC:495316)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027ob	neuron 6654 (FANC:495316)
right side of organism	has_soma_location	VFB_001027ob	neuron 6654 (FANC:495316)
adult peripheral nervous system	overlaps	VFB_001027p0	Neuron 6718 (FANC:495773)
adult ventral nerve cord	overlaps	VFB_001027p0	Neuron 6718 (FANC:495773)
right side of organism	has_soma_location	VFB_001027p0	Neuron 6718 (FANC:495773)
adult peripheral nervous system	overlaps	VFB_001027n2	neuron 8565 (FANC:494257)
adult ventral nerve cord	overlaps	VFB_001027n2	neuron 8565 (FANC:494257)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027n2	neuron 8565 (FANC:494257)
right side of organism	has_soma_location	VFB_001027n2	neuron 8565 (FANC:494257)
