subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	15997983	AN-L-Sens-B2-ACp-06	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15590761	AN-L-Sens-B2-ACp-07	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998218	AN-L-Sens-B2-ACp-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998768	AN-L-Sens-B2-ACp-09	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998307	AN-L-Sens-B2-ACp-10	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15996518	AN-L-Sens-B2-ACp-11	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998817	AN-L-Sens-B2-ACp-12	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998100	AN-L-Sens-B2-ACp-13	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15997645	AN-L-Sens-B2-ACp-14	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998261	AN-L-Sens-B2-ACp-15	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15997807	AN-L-Sens-B2-ACp-16	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1715990	AN-L-Sens-B2-ACp-17	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15997692	AN-L-Sens-B2-ACp-18	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	11671564	AN-L-Sens-B2-ACp-21	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15995404	AN-L-Sens-B2-ACp-22	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15997929	AN-L-Sens-B2-ACp-23	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
