subject_external_db	subject_external_id	relation	pub	object
catmaid_fafb	9742	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9754	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9762	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9842	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	9930	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11438	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11482	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11534	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11538	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11558	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11582	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11622	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11822	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11826	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11850	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	11878	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12126	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12134	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12142	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12190	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12586	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	12590	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
catmaid_fafb	14678	is_a	doi:10.1101/2020.04.17.047167	gamma Kenyon cell
